Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
CCDC71L,-0.19305663,1.0,BCAR3,24.118786,0.5451318709731849,ILK,0.0069632684,1.0,TMEM222,0.44558996,0.9769798909822329,RP11-160E2.6,-0.9879464,0.55846022475434
ARVCF,-0.26321158,1.0,BTBD3,24.118786,0.5451318709731849,MECP2,0.009392977,1.0,OAS1,0.29582053,0.9773049313455673,PRPF38B,-0.9845152,0.5554338641341627
SLC37A4,-0.19406702,1.0,ZNF776,24.747889,0.5451318709731849,TSEN34,0.013719548,1.0,SMARCAL1,0.64794785,0.9772906187992896,TSPAN4,-0.99094015,0.5563530521986455
MZF1-AS1,-0.26327226,1.0,B9D1,25.024963,0.5451318709731849,BRD4,0.0074013956,1.0,MRPS9,0.43699062,0.9778069323629832,HNRNPUL1,-0.9931417,0.5491993360935703
IPO13,-0.25868258,1.0,ZNF419,23.965563,0.5451318709731849,CARHSP1,0.0062694964,1.0,CAMK1D,0.5678001,0.9778456442287944,ATP5C1,-0.9872999,0.5491993360935703
RSPH14,-0.25136295,1.0,PEX19,23.965563,0.5451318709731849,GNPDA2,0.012056704,1.0,ARHGAP11B,0.56663895,0.977950372530736,CUL4A,-0.99772036,0.5486227915320492
UBL4A,-0.1590773,1.0,RECK,23.965563,0.5451318709731849,GNA13,0.011283955,1.0,BTD,0.55870134,0.9803563139569952,CD47,-0.99232924,0.5486227915320492
SNX17,-0.12158498,1.0,IPO11,23.965563,0.5451318709731849,SMARCD2,0.011072512,1.0,ZNF263,0.5579987,0.9807474788995373,TMEM11,-0.99725896,0.5477074546973845
OSGEP,-0.1827758,1.0,DPH6,25.012346,0.5451318709731849,RAB3GAP1,0.010481114,1.0,DCLRE1B,0.6353143,0.9814242321659165,PRMT2,-1.0041751,0.5451651025272849
UBA52,-0.047587775,1.0,FAM72B,24.747889,0.5451318709731849,SMUG1,0.008256475,1.0,PIM3,0.5414816,0.9817033770391891,PDIA6,-1.0054649,0.5438902217670768
DESI1,-0.18514034,1.0,BCL2L2,25.251522,0.5451318709731849,PTPRN2,0.006264717,1.0,RNF114,0.32453942,0.9820434784182561,EEF2,-0.72371966,0.5426445626389179
PCMT1,-0.12570766,1.0,RP11-554J4.1,23.965563,0.5451318709731849,NCOR2,0.004059139,1.0,CTBP2,0.5536995,0.9820882944653223,NIPBL,-1.0252887,0.5396972883454003
RP11-91G21.1,-0.27534056,1.0,NAT6,23.965563,0.5451318709731849,DLX5,0.002211622,1.0,SMARCC2,0.55315715,0.9822822174276988,RAC1,-0.65863454,0.5401890629527445
PTPN11,-0.27493525,1.0,HIVEP3,24.118786,0.5451318709731849,HM13,0.002143053,1.0,ARMCX3,0.33667478,0.9823944113185381,E2F4,-1.0112376,0.5365651731030966
TOP2A,-0.27304512,1.0,NPR3,25.251522,0.5451318709731849,NOP10,0.0008172422,1.0,PRKACA,0.6315527,0.9822822174276988,PDZK1IP1,-1.0248885,0.5355981148149918
HEXIM2,-0.26279366,1.0,LDAH,25.270645,0.5451318709731849,VARS,0.002164934,1.0,SNW1,0.35334495,0.9825436888370035,UQCRHL,-1.0509039,0.5335581865527604
