"","Top","p.value","FDR","summary.logFC","logFC","r","tf","CellType","tag"
"Fibroblast.MEIS1",75,0.00323207465766028,0.0154708640280006,-0.623763567296069,-0.623763567296069,-0.28,"MEIS1","Fibroblast","*"
"Fibroblast.MEIS2",289,0.442961977280934,0.55025380568808,-0.158814088854346,-0.158814088854346,-0.101,"MEIS2","Fibroblast","ns"
"Fibroblast.MITF",216,0.147732284949155,0.245536529151606,-0.259197282826709,-0.259197282826709,-0.221,"MITF","Fibroblast","ns"
"Fibroblast.MNT",137,0.0194049381603736,0.0508494364932418,-0.607803202142968,-0.607803202142968,-0.256,"MNT","Fibroblast","ns"
"Fibroblast.MSX2",272,0.372106030790689,0.491125239168593,0.196584930350169,0.196584930350169,-0.0799,"MSX2","Fibroblast","ns"
"Fibroblast.MTF1",182,0.0720788546167319,0.142100164089972,0.325848374320562,0.325848374320562,-0.0731,"MTF1","Fibroblast","ns"
"Fibroblast.MXI1",359,0.993632565847456,0.993632565847456,-0.00207419143041715,-0.00207419143041715,-0.0284,"MXI1","Fibroblast","ns"
"Fibroblast.MYB",148,0.0306178206078475,0.074268902690657,-0.4494498374574,-0.4494498374574,-0.199,"MYB","Fibroblast","ns"
"Fibroblast.MYBL1",169,0.0606634897867148,0.128452610843209,0.425804741587514,0.425804741587514,-0.0843,"MYBL1","Fibroblast","ns"
"Fibroblast.MYBL2",130,0.0167225913234878,0.0458467378314688,-0.56547881839858,-0.56547881839858,-0.277,"MYBL2","Fibroblast","*"
"Fibroblast.MYC",236,0.211519451929631,0.32176052221499,0.270979897346475,0.270979897346475,0.108,"MYC","Fibroblast","ns"
"Fibroblast.MYCN",253,0.280222449209795,0.396834234505499,-0.268712538838789,-0.268712538838789,-0.184,"MYCN","Fibroblast","ns"
"Fibroblast.MYNN",250,0.262085629981115,0.375780797237345,0.25065923398929,0.25065923398929,0.124,"MYNN","Fibroblast","ns"
"Fibroblast.MYOD1",25,0.000139694717719433,0.00200601614645105,-1.00932201499356,-1.00932201499356,-0.402,"MYOD1","Fibroblast","**"
"Fibroblast.NANOG",94,0.00624609585841662,0.0236685157005452,-0.572120300941438,-0.572120300941438,-0.307,"NANOG","Fibroblast","*"
