receptor,tf
Axl,Stat5b
Bambi,Hif1a
Bambi,Myc
Bambi,Rbpj
Bambi,Smad3
Bcl2,Creb1
Bcl2,Dlx5
Bcl2,Foxa2
Bcl2,Foxg1
Bcl2,Foxo1
Bcl2,Foxo3
Bcl2,Foxo4
Bcl2,Foxo6
Bcl2,Gata1
Bcl2,Gata2
Bcl2,Hand1
Bcl2,Hes5
Bcl2,Hmga1
Bcl2,Jun
Bcl2,Mitf
Bcl2,Mxd1
Bcl2,Myc
Bcl2,Myt1
Bcl2,Nfatc2
Bcl2,Nr4a1
Bcl2,Nrf1
Bcl2,Pou5f1
Bcl2,Runx2
Bcl2,Ski
Bcl2,Smad3
Bcl2,Sox2
Bcl2,Sp1
Bcl2,Stat1
Bcl2,Tal1
Bcl2,Terf1
Bcl2,Twist1
Bcl2l1,Creb1
Bcl2l1,Dlx5
Bcl2l1,Foxa2
Bcl2l1,Foxg1
Bcl2l1,Foxo1
Bcl2l1,Foxo3
Bcl2l1,Foxo4
Bcl2l1,Foxo6
Bcl2l1,Gata1
Bcl2l1,Gata2
Bcl2l1,Hand1
Bcl2l1,Hes5
Bcl2l1,Mitf
Bcl2l1,Mxd1
Bcl2l1,Myt1
Bcl2l1,Nfatc2
Bcl2l1,Nr4a1
Bcl2l1,Nrf1
Bcl2l1,Pou5f1
Bcl2l1,Runx2
Bcl2l1,Ski
Bcl2l1,Smad3
Bcl2l1,Sox2
Bcl2l1,Sp1
Bcl2l1,Stat1
Bcl2l1,Tal1
Bcl2l1,Terf1
Bcl2l1,Twist1
Bcr,Cebpb
Bcr,Creb1
Bcr,Dlx5
Bcr,E2f1
Bcr,Elk1
Bcr,Foxa2
Bcr,Foxg1
Bcr,Foxo1
Bcr,Foxo3
Bcr,Foxo4
Bcr,Foxo6
Bcr,Gata1
Bcr,Gata2
Bcr,Gli1
Bcr,Hand1
Bcr,Hes5
Bcr,Hif1a
Bcr,Hmga1
Bcr,Ikzf3
Bcr,Irf3
Bcr,Irf7
Bcr,Jun
Bcr,Mef2d
Bcr,Mitf
Bcr,Mxd1
Bcr,Myod1
Bcr,Myt1
Bcr,Neurod1
Bcr,Nfatc1
Bcr,Nfatc2
Bcr,Nfkb1
Bcr,Nkx2-1
Bcr,Nr4a1
Bcr,Nrf1
Bcr,Pax3
Bcr,Pax8
Bcr,Pou5f1
Bcr,Runx2
Bcr,Ski
Bcr,Smad3
Bcr,Snai1
Bcr,Sox2
Bcr,Sp1
Bcr,Stat1
Bcr,Stat5a
Bcr,Stat5b
Bcr,Tal1
Bcr,Tbp
Bcr,Tcf3
Bcr,Tead1
Bcr,Tead2
Bcr,Tead3
Bcr,Tead4
Bcr,Terf1
Bcr,Twist1
Bcr,Xbp1
Birc2,Aire
Birc2,Arnt
Birc2,Arntl
Birc2,Cebpa
Birc2,E2f1
Birc2,Etv5
Birc2,Fos
Birc2,Foxl2
Birc2,Gata1
Birc2,Hsf2
Birc2,Irf5
Birc2,Irf7
Birc2,Jun
Birc2,Mitf
Birc2,Mxd1
Birc2,Myb
Birc2,Nfatc1
Birc2,Nfkb1
Birc2,Plag1
Birc2,Rela
Birc2,Runx2
Birc2,Smad1
Birc2,Smad3
Birc2,Smad4
Birc2,Smad5
Birc2,Sox4
Birc2,Sox6
Birc2,Sp3
Birc2,Tfap2b
Birc2,Tfap2c
Birc2,Trps1
Birc2,Zhx1
Birc3,Arnt
Birc3,Arntl
Birc3,Cebpa
Birc3,E2f1
Birc3,Etv5
Birc3,Fos
Birc3,Foxl2
Birc3,Gata1
Birc3,Hsf2
Birc3,Irf5
Birc3,Irf7
Birc3,Jun
Birc3,Mitf
Birc3,Myb
Birc3,Nfatc1
Birc3,Nfkb1
Birc3,Plag1
Birc3,Rela
Birc3,Runx2
Birc3,Smad1
Birc3,Smad3
Birc3,Smad4
Birc3,Smad5
