"","RNA.Neural","RNA.MSC","RNA.Fibroblast","RNA.Megakaryocyte","RNA.Myeloid"
"LRRC47",0,0.0602422615180188,0.0331338935813378,0,0.0901070093668857
"C1orf174",0.014765773120322,0.0717271381800469,0.0345928224016423,0.0553153427596544,0
"RPL22",0.329665412349403,1.19761599080875,1.31331551681507,2.06390709338393,1.2735325103152
"ICMT",0,0.0723397647460439,0.0412262043528099,0,0
"ACOT7",0.0215298530525732,0.0107927128669275,0.0346280978944848,0.0384552471341741,0
"TNFRSF25",0,0.0669293355501658,0.00782893277867664,0.0368974035441276,0
"CAMTA1",0.0498296079377837,0.29189463617366,0.150954744482576,0.637540426894215,0.262034207148983
"VAMP3",0.0371224653686601,0.114832780071879,0.104925862985995,0.0776092490485711,0
"PER3",0,0.0715608074038003,0.0349304381570687,0,0
"PARK7",0.0888915319380958,0.546530907617694,0.5239642048413,0.945207902668223,0.0531730509938633
"ERRFI1",0.0694980553589189,0.394448938935283,0,0,0
"RERE",0.0243688876034504,0.0442262514844684,0.107700630607709,0,0.211724043466109
"ENO1",0.067465991389661,0.182621775668537,0.504614804886144,0.710091164985802,0.625911104684857
"SLC25A33",0,0.0631347796811078,0.00782893277867664,0.0593628199681993,0
"PIK3CD",0,0,0.0412739173914552,0,0.103929114976494
"CLSTN1",0,0.165430155429334,0.0340030272246538,0.0384552471341741,0.0893798070366681
"CTNNBIP1",0.0517322198936009,0.031913679236782,0.139523417802761,0.135983509467664,0
"LZIC",0,0.0482219931905156,0.0551298450520544,0.0344432416382594,0
"UBE4B",0.0310958137674385,0.0667375288564214,0.0262760429325846,0,0
"KIF1B",0.475290527261589,0,0,0,0.0531730509938633
"PGD",0.0143204448588693,0.0714312337765554,0.0396477277878662,0.184726208130134,0.556453246553353
"APITD1",0.0161265513907695,0.0305377282638657,0.0100884845243511,0,0
"DFFA",0,0.128681200772539,0.0436694628387337,0,0
"PEX14",0.010546202737323,0,0,0.0292409610389706,0
"TARDBP",0.0470287150758594,0.0721162079340532,0.245532110606622,0.0814312079833273,0.196470749517499
"SRM",0.0237291858897472,0.116729188640118,0.240432330768778,0.182139976954799,0.0531730509938633
"EXOSC10",0,0,0,0.0536258393104755,0
"MAD2L2",0.0188433679935599,0.0539396372312471,0,0.0842687009493062,0
"AGTRAP",0,0.115514144941906,0.00782893277867664,0.182307663621472,0.447078724433119
"MTHFR",0,0,0.10767178296302,0,0
"KIAA2013",0,0.0127978916251743,0,0.182135854031915,0
"PLOD1",0,0.11094955051978,0.0340030272246538,0,0.0549773752409617
"MFN2",0,0.0248574004140812,0,0,0
"MIIP",0.029607504872348,0.0997188780640936,0.0463144599332079,0.106272051995922,0.0549773752409617
"TNFRSF1B",0,0,0,0.169517531898893,0
"DHRS3",0.0123070883230126,0.355426452779718,0.0406702647045275,0,0
"PRDM2",0,0.0705528761525469,0.0354826897109979,0,0.0549773752409617
"EFHD2",0.0227641383938397,0,0.00782893277867664,0.087449584822904,0.302586839730023
"FBLIM1",0,0.243190035337844,0.134243464891977,0,0.0531730509938633
"UQCRHL",0.145645298687599,0.052339201478012,0.0477598152163574,0.149563510146096,0.0531730509938633
"SPEN",0.0231964716277377,0.022037961039569,0.110091076904275,0,0
"FBXO42",0.010546202737323,0.0929957339506323,0,0,0
"SZRD1",0,0.0584744244553246,0.0455095486876209,0.0740703290842072,0
"NECAP2",0.149608790178572,0.156678869061975,0.0472070630359029,0.294551662317845,0
"SDHB",0.120655973301831,0.0858722632104553,0.0505922320128924,0.0941439284549988,0
"PADI4",0,0,0,0.154826043430805,0.299258753825707
"RCC2",0,0.0578734536811854,0,0,0.0549773752409617
"UBR4",0.113488325972515,0.131814734957529,0.0662586536460562,0.0144029023261131,0.0549773752409617
"MRTO4",0,0.09541979184639,0.0100884845243511,0.106081574515373,0
"AKR7A2",0.0478224550214151,0.0478117684146832,0.012311156298761,0.608152829100994,0.0549773752409617
"CAPZB",0,0.341369210704191,0.145411780123757,0.620425548197988,0.190548079836793
"MINOS1",0,0.344537793467958,0.114087292477654,0.567650198748732,0.374570894336191
"NBL1",0,0.295637637110975,0.281642606112874,0.0162626133344135,0
"CDA",0,0,0.0193201832389251,0,0.694950479520172
