"","Megakaryocyte","Fibroblast","MSC","Myeloid","Neural"
"TNFRSF25",0,0.380566217104194,0,0.282533762784653,0
"CAMTA1",0.9706853038245,1.48632333168749,0.754830917874396,2.3636346420858,0.600492403771092
"VAMP3",0,0.946226842386984,1.37761443302973,0,0
"PER3",0,0.887318258272024,0.386757425742574,0,0
"PARK7",0,2.98744537251528,6.75145578779183,7.44416770657437,0.561324726354196
"ERRFI1",4.19223242044378,2.5758127618119,0,0,0
"RERE",1.76803394625177,0.348881233207197,1.32502521418857,0,4.20168067226891
"ENO1",0,1.46588536296893,6.79019097890199,7.11035337738549,7.93906817543874
"SLC25A33",0,0.432499792669019,0,0,0
"PIK3CD",0,0,0,0,3.08546744831842
"CLSTN1",0,2.00086285881839,0.353506787330317,0.315238635647185,0
"CTNNBIP1",5.18109887213767,0,2.18113701981576,0,0
"LZIC",0,0.471382053343664,0,0,0
"UBE4B",0,0.584657584635157,0,0,0
"KIF1B",32.4534808916047,0,0,0,0.561324726354196
"PGD",0,0.42778761232192,0,0,4.7630053986231
"APITD1",0,0.386518243661101,0,0,0
"DFFA",0,0.799340555103942,0,0,0
"PEX14",0,0,0,0,0
"TARDBP",1.45602795573675,0.294729344421451,2.77713209970631,1.1015642211941,2.76854928017719
"SRM",0,0.731141476951903,3.23134532702792,2.56334493913021,0.561324726354196
"EXOSC10",0,0,0,0.880591757661148,0
"MAD2L2",0,0.533534931164951,0,0.315238635647185,0
"AGTRAP",0,0.396983220586222,0,2.69832703723691,0.561324726354196
"MTHFR",0,0,0.627510040160642,0,0
"KIAA2013",0,0.0511226534702057,0,0.315238635647185,0
"PLOD1",0,0.657757716728793,0.353506787330317,0,0.600492403771092
"MFN2",0,0,0,0,0
"MIIP",0,0.30448253500471,0.544425087108014,1.23130036620021,0.600492403771092
"TNFRSF1B",0,0,0,3.21622708634328,0
"DHRS3",0,3.81765086793774,0.670600858369099,0,0
"PRDM2",0,0.261516089195011,0,0,0.600492403771092
"EFHD2",1.25328988595062,0,0,1.19075970469159,1.71900011417545
"FBLIM1",0,1.49628993079196,0.986896404927803,0,0.561324726354196
"UQCRHL",10.978520588246,0.230771977988745,0.625,0.574448529411765,0.561324726354196
"SPEN",1.37513751375138,0.156504319519219,0.942813401923106,0,0
"FBXO42",0,0.403592271863748,0,0,0
"SZRD1",0,0.300168828908043,0.504032258064516,0,0
"NECAP2",0,0.598429640044985,0,2.20976850094741,0
"SDHB",4.14217362382767,0.513063712272476,0.818062827225131,0,0
"PADI4",0,0,0,1.34144612954826,8.16936750413812
"RCC2",0,0.0986855090198555,0,0,0.600492403771092
"UBR4",3.07941544661566,0.306889673162498,0.658969969296581,0,0.600492403771092
"MRTO4",0,0.892794289287314,0,0.94876660341556,0
"AKR7A2",3.24324885318721,0.384774741666213,0,2.59765867830616,0.600492403771092
"CAPZB",0,2.30288227734794,1.31853098792498,1.45441717602906,0
"MINOS1",0,2.23084840849217,0,2.16275243332778,1.20098480754218
"NBL1",0,2.19982052085789,2.77562568729533,0,0
"CDA",0,0,0,0,0
"PINK1",0,0,0,0,0
"DDOST",0,0.534949670458052,0,1.64433853965664,0.600492403771092
"HP1BP3",1.70706725844998,2.58664603756153,2.56135975595021,4.02968721951582,4.7630053986231
"EIF4G3",0,0.530603122360125,0,0,0
"ECE1",0,0,0,0,0
"ALPL",0,1.34010378430097,0,0,0
"USP48",0,0.891923190319375,0.494462025316456,0,4.20168067226891
"HSPG2",0,1.09731006790244,1.31171666497753,0,0
"CDC42",5.37316109253144,2.14764694931068,2.23646056288206,2.75109190976262,0.600492403771092
"KDM1A",0,0.156504319519219,0,0,0
"LUZP1",0,0.778369235402259,0.369385342789598,0.314901121047991,0
"HNRNPR",1.9986782610093,2.45798861372273,1.39258601991521,2.54019556381593,0
"TCEA3",0,1.06438830738975,0,1.48544266191325,0
"E2F2",0,0,0,0,0
"ID3",0,10.9097780392028,5.75580561754423,1.36798905608755,0
"RPL11",36.028231984569,22.3434659521054,58.2157378344479,58.121567036597,13.2598690419644
"TCEB3",0,0,0,0,0
"PITHD1",0,0.251022918392449,1.77499591760562,0.315238635647185,0.600492403771092
"LYPLA2",0,0.822777204981315,0,0,0
"GALE",0,0.209314495028781,0.494462025316456,0,0
"FUCA1",0,0.548280576448388,0,0,0
"PNRC2",0,2.45840630490514,0.504032258064516,2.34512409615009,0
"SRSF10",4.2304190052115,0.0511226534702057,1.68104602774795,0,4.7630053986231
"RCAN3",0,0,0,0,0
"SRRM1",10.1825100699752,0.288961488323315,1.16213655474625,0.314901121047991,0.561324726354196
"CLIC4",0,1.26186719409228,1.16646312855329,0,0
"RUNX3",0,0.0511226534702057,0,0.687539454708987,0
"SYF2",0,0.896888645730865,0.860720633666718,0,0.561324726354196
"RSRP1",0,2.84091037174373,0.316295546558705,0.945040877743167,7.60879670781098
