"","source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"153","Megakaryocyte","Megakaryocyte","HSP90AA1","STAT4","Receptor","Transcription Factor",0.764499751322428
"154","Megakaryocyte","Megakaryocyte","HSP90AB1","STAT4","Receptor","Transcription Factor",0.764499751322428
"155","Megakaryocyte","Megakaryocyte","IGF1R","STAT4","Receptor","Transcription Factor",0.764499751322428
"156","Megakaryocyte","Megakaryocyte","IKBKE","STAT4","Receptor","Transcription Factor",0.764499751322428
"157","Megakaryocyte","Megakaryocyte","IL12RB1","STAT4","Receptor","Transcription Factor",0.764499751322428
"158","Megakaryocyte","Megakaryocyte","IL12RB2","STAT4","Receptor","Transcription Factor",0.764499751322428
"159","Megakaryocyte","Megakaryocyte","IL2RB","STAT4","Receptor","Transcription Factor",0.764499751322428
"160","Megakaryocyte","Megakaryocyte","ILK","STAT4","Receptor","Transcription Factor",0.764499751322428
"161","Megakaryocyte","Megakaryocyte","INSR","STAT4","Receptor","Transcription Factor",0.764499751322428
"162","Megakaryocyte","Megakaryocyte","ITGB1","STAT4","Receptor","Transcription Factor",0.764499751322428
"163","Megakaryocyte","Megakaryocyte","JAK1","STAT4","Receptor","Transcription Factor",0.764499751322428
"164","Megakaryocyte","Megakaryocyte","JAK2","STAT4","Receptor","Transcription Factor",0.764499751322428
"165","Megakaryocyte","Megakaryocyte","JAK3","STAT4","Receptor","Transcription Factor",0.764499751322428
"166","Megakaryocyte","Megakaryocyte","LCK","STAT4","Receptor","Transcription Factor",0.764499751322428
"167","Megakaryocyte","Megakaryocyte","MAP2K6","STAT4","Receptor","Transcription Factor",0.764499751322428
"168","Megakaryocyte","Megakaryocyte","MAPK1","STAT4","Receptor","Transcription Factor",0.764499751322428
"169","Megakaryocyte","Megakaryocyte","MAPK11","STAT4","Receptor","Transcription Factor",0.764499751322428
"170","Megakaryocyte","Megakaryocyte","MAPK14","STAT4","Receptor","Transcription Factor",0.764499751322428
"171","Megakaryocyte","Megakaryocyte","MAPK8","STAT4","Receptor","Transcription Factor",0.764499751322428
"172","Megakaryocyte","Megakaryocyte","MAPKAPK2","STAT4","Receptor","Transcription Factor",0.764499751322428
"173","Megakaryocyte","Megakaryocyte","MTOR","STAT4","Receptor","Transcription Factor",0.764499751322428
"174","Megakaryocyte","Megakaryocyte","PAK1","STAT4","Receptor","Transcription Factor",0.764499751322428
"175","Megakaryocyte","Megakaryocyte","PDK1","STAT4","Receptor","Transcription Factor",0.764499751322428
"176","Megakaryocyte","Megakaryocyte","PDPK1","STAT4","Receptor","Transcription Factor",0.764499751322428
"177","Megakaryocyte","Megakaryocyte","PIK3CA+PIK3R1","STAT4","Receptor","Transcription Factor",0.764499751322428
"178","Megakaryocyte","Megakaryocyte","PIK3CA","STAT4","Receptor","Transcription Factor",0.764499751322428
"179","Megakaryocyte","Megakaryocyte","PIK3R1","STAT4","Receptor","Transcription Factor",0.764499751322428
