,Neural,MSC,Fibroblast,Megakaryocyte,Myeloid
CTNNBIP1,0.05173221989360088,0.03191367923678201,0.13952341780276134,0.13598350946766388,0.0
LZIC,0.0,0.0482219931905156,0.055129845052054344,0.03444324163825937,0.0
UBE4B,0.03109581376743853,0.06673752885642137,0.02627604293258461,0.0,0.0
KIF1B,0.4752905272615895,0.0,0.0,0.0,0.05317305099386332
PGD,0.014320444858869338,0.07143123377655539,0.03964772778786624,0.1847262081301339,0.5564532465533526
APITD1,0.016126551390769534,0.030537728263865683,0.010088484524351076,0.0,0.0
DFFA,0.0,0.12868120077253878,0.04366946283873366,0.0,0.0
PEX14,0.010546202737323013,0.0,0.0,0.0292409610389706,0.0
TARDBP,0.047028715075859366,0.07211620793405317,0.2455321106066217,0.08143120798332729,0.1964707495174993
SRM,0.02372918588974721,0.11672918864011765,0.24043233076877807,0.18213997695479936,0.05317305099386332
EXOSC10,0.0,0.0,0.0,0.05362583931047546,0.0
MAD2L2,0.018843367993559894,0.05393963723124706,0.0,0.08426870094930622,0.0
AGTRAP,0.0,0.11551414494190583,0.007828932778676634,0.18230766362147233,0.44707872443311925
MTHFR,0.0,0.0,0.10767178296302038,0.0,0.0
KIAA2013,0.0,0.01279789162517432,0.0,0.18213585403191523,0.0
PLOD1,0.0,0.11094955051978031,0.03400302722465376,0.0,0.05497737524096175
MFN2,0.0,0.024857400414081163,0.0,0.0,0.0
MIIP,0.029607504872348017,0.09971887806409363,0.04631445993320791,0.10627205199592171,0.05497737524096175
TNFRSF1B,0.0,0.0,0.0,0.16951753189889346,0.0
DHRS3,0.012307088323012584,0.35542645277971774,0.04067026470452747,0.0,0.0
PRDM2,0.0,0.07055287615254685,0.03548268971099793,0.0,0.05497737524096175
EFHD2,0.0227641383938397,0.0,0.007828932778676634,0.08744958482290405,0.3025868397300233
FBLIM1,0.0,0.24319003533784395,0.1342434648919771,0.0,0.05317305099386332
UQCRHL,0.14564529868759862,0.052339201478012035,0.04775981521635737,0.1495635101460961,0.05317305099386332
SPEN,0.02319647162773769,0.02203796103956903,0.1100910769042749,0.0,0.0
FBXO42,0.010546202737323013,0.09299573395063228,0.0,0.0,0.0
SZRD1,0.0,0.0584744244553246,0.04550954868762087,0.07407032908420724,0.0
NECAP2,0.14960879017857218,0.15667886906197478,0.04720706303590295,0.29455166231784474,0.0
SDHB,0.12065597330183149,0.08587226321045534,0.05059223201289237,0.09414392845499878,0.0
PADI4,0.0,0.0,0.0,0.15482604343080494,0.29925875382570694
RCC2,0.0,0.0578734536811854,0.0,0.0,0.05497737524096175
UBR4,0.1134883259725146,0.13181473495752913,0.06625865364605614,0.014402902326113139,0.05497737524096175
MRTO4,0.0,0.09541979184639,0.010088484524351076,0.10608157451537342,0.0
AKR7A2,0.04782245502141515,0.04781176841468315,0.012311156298760968,0.6081528291009937,0.05497737524096175
CAPZB,0.0,0.3413692107041908,0.14541178012375736,0.6204255481979885,0.19054807983679284
MINOS1,0.0,0.3445377934679584,0.11408729247765359,0.5676501987487315,0.37457089433619106
NBL1,0.0,0.29563763711097457,0.2816426061128738,0.01626261333441347,0.0
CDA,0.0,0.0,0.019320183238925103,0.0,0.6949504795201716
PINK1,0.060760566627752734,0.01569029299539878,0.0,0.0,0.0
DDOST,0.0,0.12893368412299552,0.007828932778676634,0.24097466176331336,0.16009922380683442
HP1BP3,0.09950101415135354,0.3639780306767236,0.29111449780677645,0.22968735855731792,0.16700070200893707
EIF4G3,0.0,0.06782367983755466,0.0,0.0,0.0
ECE1,0.0,0.0,0.0,0.0,0.0
ALPL,0.0,0.23842609601094433,0.0,0.0,0.0
USP48,0.028506477413245784,0.06774353760832223,0.03748074358510025,0.0,0.11382765101507376
HSPG2,0.0,0.3138802834125308,0.12852575916925113,0.0357908309677438,0.11119264068392502
CDC42,0.28248178471261165,0.3317294477371753,0.2250237428609627,0.6077540229750549,0.13283525142135236
KDM1A,0.0,0.03152372186137912,0.0,0.0,0.0
LUZP1,0.0,0.0942834348608507,0.1080311789238337,0.038439938144157845,0.0
HNRNPR,0.08113836297164137,0.33902417977040167,0.1435425632758421,0.25206479836814805,0.0
TCEA3,0.0,0.10743121630833403,0.0,0.061588747983133844,0.0
E2F2,0.041862928136856895,0.0,0.02788687979697784,0.0,0.11354449314039546
ID3,0.026864286081559267,0.9678036875961753,0.5231395892965495,0.10612433959722894,0.0
RPL11,1.2164529886925126,1.7982411551501856,3.213872235989845,3.0580702785243226,1.741604180250216
TCEB3,0.0,0.018922555450915535,0.0,0.0,0.0
PITHD1,0.3884062693832907,0.05610212433462554,0.21390517214345922,0.2166829135547631,0.32792519926074265
LYPLA2,0.015735184107602662,0.15789846529551205,0.0,0.02440868471928486,0.0
GALE,0.0,0.024703446601484953,0.03748074358510025,0.0,0.0
FUCA1,0.0,0.0676987827510869,0.0,0.0,0.0
PNRC2,0.20452290116923774,0.279489198917851,0.10464254162764866,0.19084551298929048,0.0
SRSF10,0.11697490010129354,0.1102343779318242,0.13274094405292897,0.13601343047193618,0.35096443570827063
RCAN3,0.0,0.0,0.0,0.0,0.0
