"","Neural","MSC","Fibroblast","Megakaryocyte","Myeloid"
"SLC25A33",0,0,0.0369352598764885,0.26164686728901,0
"PIK3CD",0,0,1.56739811912226,0,0
"CLSTN1",0,1.33292757127843,0,0,0.591540964211772
"CTNNBIP1",0,0.194692086834846,0.107272541983791,0.891858649545564,0
"LZIC",0,0,1.88875255242085,0.268817204301075,0
"UBE4B",0.486655435007727,0,0.362594727872657,0,0
"KIF1B",0,0,0,0,0
"PGD",0.17964932451854,0,0.667333040876299,1.88720345420398,3.10505852047338
"APITD1",0.268125268125268,0,0.0536362709918956,0,0
"DFFA",0,0.163396022940802,0.968901709084317,0,0
"PEX14",0.0754739765728777,0,0,0.183250870441635,0
"TARDBP",0.203598306280721,0.366394313560253,0.789361542485152,0.0803652733867065,0.730727073438071
"SRM",0.21454829789019,0.457155746876954,0.432001339360217,0.338937446189557,0
"EXOSC10",0,0,0,0,0
"MAD2L2",0.485248447204969,0,0,0.246191454530255,0
"AGTRAP",0,0.71171930535203,0.0369352598764885,0.307241515580316,3.28479105720526
"MTHFR",0,0,1.59471660485859,0,0
"KIAA2013",0,0,0,1.98715110356323,0
"PLOD1",0,0.212806707667426,0,0,0
"MFN2",0,0.212806707667426,0,0,0
"MIIP",0.411926898316583,0.736659036011198,0.0369352598764885,0.0516315572077654,0
"TNFRSF1B",0,0,0,0,0
"DHRS3",0.113884839650146,1.06572768210839,0,0,0
"PRDM2",0,0.497760079641613,0.900333123255604,0,0
"EFHD2",0,0,0.0369352598764885,0.183250870441635,1.12897311340294
"FBLIM1",0,0.879367910535313,1.09365411089549,0,0
"UQCRHL",0,0.0799066690105956,0.0369352598764885,0.75946714469837,0
"SPEN",0,0,1.15713955102985,0,0
"FBXO42",0.0754739765728777,0.42165626581211,0,0,0
"SZRD1",0,0.0799066690105956,0.0369352598764885,0.83739555078494,0
"NECAP2",2.38939418843251,0.91512002381903,0.600221334837293,0.774472721339523,0
"SDHB",1.80480627489055,0.251952632905014,0.0369352598764885,0.450141163441238,0
"PADI4",0,0,0,0.240766327512936,0
"RCC2",0,0.995520159283225,0,0,0
"UBR4",0.78737243980791,2.09951303574131,0,0.0504591785245736,0
"MRTO4",0,0.031296063894044,0.0536362709918956,0.856898029134533,0
"AKR7A2",0,0,0.073870519752977,3.7846861579734,0
"CAPZB",0,1.08895313498179,0.725896175038537,8.18221631342521,1.45249662499524
"MINOS1",0,1.391173001096,1.46307435500377,3.9419034001928,2.50141510378373
"NBL1",0,0.730056128397585,2.20683586395097,0.061050061050061,0
"CDA",0,0,0.173454520224797,0,6.69271778087562
"PINK1",0.893803707384227,0.0745639870855174,0,0,0
"DDOST",0,0.280808772466052,0.0369352598764885,1.09766865369552,0.974848898420745
"HP1BP3",2.22394872364311,2.13815221224407,1.70397575424158,0.415262549582749,0
"EIF4G3",0,0,0,0,0
"ECE1",0,0,0,0,0
"ALPL",0,0.514768066857307,0,0,0
"USP48",0.383930345019839,0,0,0,0
"HSPG2",0,2.59993536421058,0.639437744828711,0.29603315571344,1.17827265229174
"CDC42",2.36583403356206,1.65542447524756,1.10064002034628,4.02245335540466,0.405959485243373
"KDM1A",0,0.031296063894044,0,0,0
"LUZP1",0,0,2.05747267428546,0,0
"HNRNPR",0.45746098802836,1.72435176156487,0.766643693903823,1.27911545602595,0
"TCEA3",0,0,0,0,0
"E2F2",0.524072956120997,0,0.426766814612496,0,1.2675877804538
"ID3",0.310049954901825,18.1292608623939,4.64596243684807,0.325939250575573,0
"RPL11",11.9942305153875,13.4580369619263,33.4678354576738,27.4331567888049,14.3263536438168
"TCEB3",0,0.109957776213934,0,0,0
"PITHD1",6.45448097283365,0.354308390022676,2.42610091728712,1.16248720898808,1.94333332806113
"LYPLA2",0.245966155057064,0.742509372429626,0,0.0803652733867065,0
"GALE",0,0,0,0,0
"FUCA1",0,0,0,0,0
"PNRC2",3.45800402156417,0.533603734132139,0.881662291500165,0.91369860672004,0
