"","receptor","tf"
"1069","ALK","SMAD1"
"1070","ALK","SMAD3"
"1073","ALK","SOX2"
"1074","ALK","SP1"
"1076","ALK","STAT1"
"1078","ALK","STAT5A"
"1079","ALK","STAT5B"
"1080","ALK","TAL1"
"1081","ALK","TERF1"
"1082","ALK","TFCP2"
"1083","ALK","TP53"
"1084","ALK","TWIST1"
"1085","ALK","YBX1"
"1086","ALK","ZNF322"
"1087","APP","CREB1"
"1088","APP","ELF1"
"1089","APP","FOXO3"
"1090","APP","HMGA1"
"1091","APP","IRF3"
"1092","APP","MYC"
"1093","APP","POU2F1"
"1094","APP","RELA"
"1095","APP","SMAD1"
"1096","APP","SMAD3"
"1097","APP","SP1"
"1098","APP","TFCP2"
"1099","APP","TP53"
"1100","ARRB2","JUN"
"1101","ARRB2","NFKB1"
"1102","ARRB2","RBPJ"
"1103","ARRB2","RELA"
"1104","ARRB2","SMAD3"
"1105","ATM","AIRE"
"1114","ATM","ARNT"
"1116","ATM","ARNTL"
"1120","ATM","ASCL1"
"1121","ATM","ATF1"
"1124","ATM","ATF2"
"1128","ATM","ATF4"
"1132","ATM","ATF5"
"1134","ATM","ATOH1"
"1136","ATM","CEBPB"
"1137","ATM","CEBPD"
"1138","ATM","CREB1"
"1156","ATM","CREB3"
"1157","ATM","CREM"
"1159","ATM","CUX1"
"1162","ATM","CUX2"
"1163","ATM","DDIT3"
"1166","ATM","DLX5"
"1172","ATM","E2F1"
"1208","ATM","E2F2"
"1209","ATM","E2F3"
"1211","ATM","E2F5"
"1213","ATM","E4F1"
"1218","ATM","EGR1"
"1222","ATM","ELF1"
"1224","ATM","ELK1"
"1227","ATM","EPAS1"
"1229","ATM","ETV1"
"1237","ATM","FOS"
"1238","ATM","FOSB"
"1239","ATM","FOXA2"
"1245","ATM","FOXG1"
"1251","ATM","FOXL2"
"1252","ATM","FOXM1"
"1253","ATM","FOXO1"
"1264","ATM","FOXO3"
"1274","ATM","FOXO4"
"1280","ATM","FOXO6"
"1286","ATM","FOXP3"
"1287","ATM","GATA1"
"1295","ATM","GATA2"
"1303","ATM","GATA6"
"1304","ATM","GCM1"
"1305","ATM","GFI1"
"1306","ATM","GLI1"
"1312","ATM","GLI2"
"1316","ATM","GLI3"
"1319","ATM","GLIS2"
"1322","ATM","GLIS3"
"1323","ATM","HAND1"
"1329","ATM","HES5"
"1335","ATM","HES6"
"1336","ATM","HHEX"
"1337","ATM","HIC1"
"1338","ATM","HIC2"
"1339","ATM","HIF1A"
"1346","ATM","HMGA1"
"1356","ATM","HMGA2"
"1358","ATM","HNF1A"
"1360","ATM","HOXA11"
"1368","ATM","HOXA9"
"1369","ATM","HOXB6"
"1371","ATM","HOXB7"
"1372","ATM","HOXC4"
"1380","ATM","HOXC6"
"1381","ATM","HOXC8"
"1382","ATM","HOXC9"
"1383","ATM","HSF1"
"1392","ATM","IKZF1"
"1397","ATM","IKZF3"
"1398","ATM","IRF2"
"1399","ATM","IRF3"
"1409","ATM","IRF5"
"1412","ATM","IRF7"
"1413","ATM","JUN"
"1432","ATM","JUND"
"1433","ATM","KLF1"
"1443","ATM","KLF12"
"1444","ATM","KLF13"
"1446","ATM","KMT2A"
"1452","ATM","LEF1"
"1456","ATM","MAX"
"1461","ATM","MAZ"
"1471","ATM","MECOM"
"1473","ATM","MEF2A"
"1475","ATM","MEF2C"
"1486","ATM","MEF2D"
"1488","ATM","MITF"
"1494","ATM","MXD1"
"1500","ATM","MYB"
"1506","ATM","MYBL2"
"1510","ATM","MYC"
"1525","ATM","MYCN"
"1526","ATM","MYOD1"
"1534","ATM","MYOG"
"1535","ATM","MYT1"
"1541","ATM","NFAT5"
"1542","ATM","NFATC1"
"1543","ATM","NFATC2"
"1549","ATM","NFATC3"
"1552","ATM","NFKB1"
"1568","ATM","NFKB2"
"1581","ATM","NKX2-5"
"1582","ATM","NKX3-1"
"1583","ATM","NR1D1"
"1584","ATM","NR4A1"
"1591","ATM","NR4A2"
"1599","ATM","NRF1"
"1606","ATM","OSR1"
"1607","ATM","PA2G4"
"1608","ATM","PAX2"
"1609","ATM","PAX3"
"1610","ATM","PDX1"
"1618","ATM","PIN1"
"1620","ATM","PITX2"
"1626","ATM","POU2F1"
"1635","ATM","POU2F2"
"1636","ATM","POU3F1"
"1637","ATM","POU5F1"
"1653","ATM","PURB"
"1655","ATM","RBPJ"
"1657","ATM","RELA"
"1677","ATM","RUNX2"
"1685","ATM","RUNX3"
"1686","ATM","SHOX"
"1687","ATM","SIM2"
"1688","ATM","SKI"
"1694","ATM","SMAD1"
"1702","ATM","SMAD3"
"1729","ATM","SMAD4"
"1739","ATM","SMAD5"
"1740","ATM","SMAD9"
"1741","ATM","SNAI1"
"1745","ATM","SOX2"
"1751","ATM","SP1"
"1782","ATM","SP3"
"1785","ATM","SPI1"
"1787","ATM","SPIB"
"1789","ATM","SRF"
"1800","ATM","STAT1"
"1807","ATM","STAT4"
"1808","ATM","TAL1"
"1814","ATM","TBP"
"1815","ATM","TCF12"
"1816","ATM","TCF3"
"1820","ATM","TCF4"
"1822","ATM","TCF7L2"
"1824","ATM","TEAD1"
"1826","ATM","TEAD2"
"1828","ATM","TEAD3"
"1830","ATM","TEAD4"
"1832","ATM","TERF1"
"1849","ATM","TERF2"
"1850","ATM","TFAP2A"
"1851","ATM","TFCP2"
"1855","ATM","TFDP1"
"1856","ATM","TFEB"
"1858","ATM","TP53"
"1928","ATM","TP63"
"1934","ATM","TP73"
"1940","ATM","TSHZ3"
"1941","ATM","TWIST1"
"1948","ATM","USF1"
"1956","ATM","WIZ"
"1957","ATM","YBX1"
"1964","ATM","YY1"
"1966","ATM","ZBTB16"
"1967","ATM","ZC3H8"
"1968","ATM","ZEB1"
"1969","ATM","ZHX1"
"1970","ATM","ZNF148"
"1971","ATM","ZNF322"
"1980","ATM","ZNF420"
"1981","AURKA","ARNTL"
"1983","AURKA","ATF2"
"1986","AURKA","CREB1"
"1993","AURKA","DLX5"
"1996","AURKA","E2F1"
"2004","AURKA","E2F2"
"2007","AURKA","E2F3"
"2011","AURKA","EGR1"
"2012","AURKA","ELF1"
"2013","AURKA","ELF4"
"2014","AURKA","EPAS1"
"2015","AURKA","ERF"
"2016","AURKA","FOXA2"
"2019","AURKA","FOXG1"
"2022","AURKA","FOXM1"
"2023","AURKA","FOXO1"
"2028","AURKA","FOXO3"
"2032","AURKA","FOXO4"
"2036","AURKA","FOXO6"
"2039","AURKA","FOXP3"
"2040","AURKA","GATA1"
"2043","AURKA","GATA2"
"2046","AURKA","GLI1"
"2048","AURKA","GLI2"
"2049","AURKA","GLI3"
"2050","AURKA","GLIS2"
"2051","AURKA","HAND1"
"2054","AURKA","HES5"
"2057","AURKA","HIF1A"
"2061","AURKA","HOXB6"
"2063","AURKA","IKZF1"
"2068","AURKA","IRF3"
"2069","AURKA","IRF5"
"2071","AURKA","IRF7"
"2072","AURKA","JUN"
"2078","AURKA","LEF1"
"2081","AURKA","MAX"
"2083","AURKA","MBD3"
"2084","AURKA","MEF2A"
"2085","AURKA","MEF2C"
"2087","AURKA","MEF2D"
"2088","AURKA","MITF"
"2091","AURKA","MXD1"
"2094","AURKA","MYB"
"2097","AURKA","MYBL2"
"2098","AURKA","MYC"
"2105","AURKA","MYOD1"
"2111","AURKA","MYT1"
