"","ligands_human"
"551","CCL25"
"552","CCL25"
"553","CCL16"
"554","CCL16"
"555","CCL16"
"556","CCL16"
"557","CCL16"
"558","CCL16"
"559","CCL16"
"560","CCL16"
"561","CCL16"
"562","CCL16"
"563","CCL16"
"564","CCL16"
"565","CCL16"
"566","CCL16"
"567","CCL16"
"568","CCL16"
"569","CCL16"
"570","CCL16"
"571","CCL16"
"572","CCL16"
"573","CCL16"
"574","CCL16"
"575","CCL16"
"576","ARPC5"
"577","ARPC5"
"578","ARPC5"
"579","FGF10"
"580","FGF10"
"581","FGF10"
"582","FGF10"
"583","FGF10"
"584","FGF10"
"585","FGF10"
"586","FGF10"
"587","FGF10"
"588","FGF10"
"589","FGF10"
"590","FGF10"
"591","FGF10"
"592","FGF10"
"593","FGF10"
"594","FGF10"
"595","FGF10"
"596","CLDN3"
"597","FLRT2"
"598","FLRT2"
"599","FLRT2"
"600","FGF16"
"601","FGF16"
"602","FGF16"
"603","FGF16"
"604","FGF16"
"605","FGF16"
"606","FGF16"
"607","FGF16"
"608","FGF16"
"609","FGF16"
"610","FGF16"
"611","FGF16"
"612","FGF16"
"613","FGF16"
"614","DHH"
"615","DHH"
"616","DHH"
"617","DHH"
"618","DHH"
"619","DHH"
"620","DHH"
"621","DHH"
"622","TNFSF12"
"623","TNFSF12"
"624","TNFSF12"
"625","TNFSF12"
"626","TNFSF12"
"627","TNFSF12"
"628","TNFSF12"
"629","TNFSF12"
"630","TNFSF12"
"631","TNFSF12"
"632","GNRH2"
"633","GNRH2"
"634","GNRH2"
"635","TNFSF14"
"636","TNFSF14"
"637","TNFSF14"
"638","TNFSF14"
"639","TNFSF14"
"640","TNFSF14"
"641","TNFSF14"
"642","FRS3"
"643","FRS3"
"644","FRS3"
"645","FRS3"
"646","HCRT"
"647","HCRT"
"648","HCRT"
"649","HCRT"
"650","HCRT"
"651","ANGPTL7"
"652","ANGPTL7"
"653","EDIL3"
"654","EDIL3"
"655","EDIL3"
"656","EDIL3"
"657","EDIL3"
"658","EDIL3"
"659","CD5L"
"660","VEGFD"
"661","VEGFD"
"662","VEGFD"
"663","VEGFD"
"664","VEGFD"
"665","VEGFD"
"666","VEGFD"
"667","VEGFD"
"668","VEGFD"
"669","VEGFD"
"670","VEGFD"
"671","VEGFD"
"672","VEGFD"
"673","VEGFD"
"674","VEGFD"
"675","VEGFD"
"676","VEGFD"
"677","VEGFD"
"678","VEGFD"
"679","VEGFD"
"680","VEGFD"
"681","VEGFD"
"682","VEGFD"
"683","VEGFD"
"684","VEGFD"
"685","VEGFD"
"686","EFNA2"
"687","EFNA2"
"688","EFNA2"
"689","EFNA2"
"690","EFNA2"
"691","EFNA2"
"692","EFNA2"
"693","EFNA2"
"694","EFNA2"
"695","CXCL13"
"696","CXCL13"
"697","CXCL13"
"698","CXCL13"
"699","CXCL13"
"700","CXCL13"
"701","CXCL13"
"702","CXCL13"
"703","CXCL13"
"704","CXCL13"
"705","CXCL13"
"706","CXCL13"
"707","CXCL13"
"708","CXCL13"
"709","CXCL13"
"710","CXCL13"
"711","CXCL13"
"712","CXCL13"
"713","CXCL13"
"714","CXCL13"
"715","CXCL13"
"716","CXCL13"
"717","CXCL13"
"718","CXCL13"
"719","CXCL13"
"720","FGF17"
"721","FGF17"
"722","FGF17"
"723","FGF17"
"724","FGF17"
"725","FGF17"
"726","FGF17"
"727","FGF17"
"728","FGF17"
"729","FGF17"
"730","FGF17"
"731","FGF17"
"732","FGF17"
"733","FGF17"
"734","GDF9"
"735","GDF9"
"736","GDF9"
"737","GDF9"
"738","GDF9"
"739","GDF9"
"740","GDF9"
"741","GDF9"
"742","GDF9"
"743","GDF9"
"744","GDF9"
"745","GDF9"
"746","GDF9"
"747","PSPN"
"748","PSPN"
"749","PSPN"
"750","PSPN"
"751","PSPN"
"752","PSPN"
"753","PSPN"
"754","GREM1"
"755","ADAM11"
"756","ADAM11"
"757","SLIT1"
"758","SLIT1"
"759","SLIT1"
"760","SLIT1"
"761","SLIT1"
"762","SLIT3"
"763","SLIT3"
"764","SLIT3"
"765","ICOSLG"
"766","ICOSLG"
"767","ICOSLG"
"768","SEMA7A"
"769","SEMA7A"
"770","SEMA7A"
"771","SEMA7A"
"772","SEMA7A"
"773","CRLF1"
"774","CRLF1"
"775","CRLF1"
"776","PGLYRP1"
"777","LEFTY1"
"778","LEFTY1"
"779","LEFTY1"
"780","LEFTY1"
"781","CNMD"
"782","TNFSF13"
"783","TNFSF13"
"784","TNFSF13"
"785","TNFSF13"
"786","TNFSF13"
"787","TNFSF13"
"788","TNFSF13"
"789","C1QL1"
"790","FGF18"
"791","FGF18"
"792","FGF18"
"793","FGF18"
"794","FGF18"
"795","FGF18"
"796","FGF18"
"797","FGF18"
"798","FGF18"
"799","FGF18"
