receptor,tf
AURKA,FOXA2
AURKA,FOXG1
AURKA,FOXM1
AURKA,FOXO1
AURKA,FOXO3
AURKA,FOXO4
AURKA,FOXO6
AURKA,FOXP3
AURKA,GATA1
AURKA,GATA2
AURKA,GLI1
AURKA,GLI2
AURKA,GLI3
AURKA,GLIS2
AURKA,HAND1
AURKA,HES5
AURKA,HIF1A
AURKA,HOXB6
AURKA,IKZF1
AURKA,IRF3
AURKA,IRF5
AURKA,IRF7
AURKA,JUN
AURKA,LEF1
AURKA,MAX
AURKA,MBD3
AURKA,MEF2A
AURKA,MEF2C
AURKA,MEF2D
AURKA,MITF
AURKA,MXD1
AURKA,MYB
AURKA,MYBL2
AURKA,MYC
AURKA,MYOD1
AURKA,MYT1
AURKA,NFATC2
AURKA,NFATC3
AURKA,NFKB1
AURKA,NFKB2
AURKA,NR4A1
AURKA,NRF1
AURKA,OSR1
AURKA,PIN1
AURKA,PITX2
AURKA,POU5F1
AURKA,POU6F1
AURKA,PURB
AURKA,RELA
AURKA,RUNX1
AURKA,RUNX2
AURKA,RUNX3
AURKA,SKI
AURKA,SMAD1
AURKA,SMAD3
AURKA,SMAD4
AURKA,SNAI1
AURKA,SOX2
AURKA,SOX4
AURKA,SOX8
AURKA,SP1
AURKA,SP3
AURKA,SPI1
AURKA,SPIB
AURKA,SREBF1
AURKA,SRF
AURKA,STAT1
AURKA,TAL1
AURKA,TBP
AURKA,TCF3
AURKA,TEAD1
AURKA,TEAD2
AURKA,TEAD3
AURKA,TEAD4
AURKA,TERF1
AURKA,TFCP2
AURKA,TFDP1
AURKA,TP53
AURKA,TP63
AURKA,TP73
AURKA,TWIST1
AURKA,YBX1
AURKA,YY1
AURKA,ZNF322
AXL,ELK1
AXL,FOXO3
AXL,HNF1A
AXL,IKZF3
AXL,JUN
AXL,NFKB1
AXL,NKX3-1
AXL,RELA
AXL,SMAD3
AXL,STAT1
AXL,STAT5A
AXL,STAT5B
AXL,TP53
BAMBI,HIF1A
BAMBI,MYC
BAMBI,RBPJ
BAMBI,SMAD3
BAMBI,TP53
BCL2,CREB1
BCL2,DLX5
BCL2,FOXA2
BCL2,FOXG1
BCL2,FOXO1
BCL2,FOXO3
BCL2,FOXO4
BCL2,FOXO6
BCL2,GATA1
BCL2,GATA2
BCL2,HAND1
BCL2,HES5
BCL2,HMGA1
BCL2,JUN
BCL2,MAX
BCL2,MITF
BCL2,MXD1
BCL2,MYC
BCL2,MYT1
BCL2,NFATC2
BCL2,NR4A1
BCL2,NRF1
BCL2,PITX2
BCL2,POU5F1
BCL2,RUNX2
BCL2,SKI
BCL2,SMAD3
BCL2,SOX2
BCL2,SP1
BCL2,STAT1
BCL2,TAL1
BCL2,TERF1
BCL2,TP53
BCL2,TWIST1
BCL2,YBX1
BCL2,ZNF322
BCL2L1,CREB1
BCL2L1,DLX5
BCL2L1,FOXA2
BCL2L1,FOXG1
BCL2L1,FOXO1
BCL2L1,FOXO3
BCL2L1,FOXO4
BCL2L1,FOXO6
BCL2L1,GATA1
BCL2L1,GATA2
BCL2L1,HAND1
BCL2L1,HES5
BCL2L1,MAX
BCL2L1,MITF
BCL2L1,MXD1
BCL2L1,MYT1
BCL2L1,NFATC2
BCL2L1,NR4A1
BCL2L1,NRF1
BCL2L1,PITX2
BCL2L1,POU5F1
BCL2L1,RUNX2
BCL2L1,SKI
BCL2L1,SMAD3
BCL2L1,SOX2
BCL2L1,SP1
BCL2L1,STAT1
BCL2L1,TAL1
BCL2L1,TERF1
BCL2L1,TP53
BCL2L1,TWIST1
BCL2L1,YBX1
BCL2L1,ZNF322
BCR,CEBPB
BCR,CREB1
BCR,DLX5
BCR,E2F1
BCR,ELK1
BCR,FOXA2
BCR,FOXG1
BCR,FOXO1
BCR,FOXO3
BCR,FOXO4
BCR,FOXO6
BCR,GATA1
BCR,GATA2
BCR,GLI1
BCR,HAND1
BCR,HES5
BCR,HIF1A
BCR,HMGA1
BCR,IKZF3
BCR,IRF3
BCR,IRF7
BCR,JUN
BCR,MEF2D
BCR,MITF
BCR,MXD1
BCR,MYOD1
BCR,MYT1
BCR,NEUROD1
BCR,NFATC1
BCR,NFATC2
BCR,NFKB1
BCR,NKX2-1
BCR,NR4A1
BCR,NRF1
BCR,PAX3
BCR,PAX8
BCR,PITX2
BCR,POU5F1
BCR,RUNX2
BCR,SKI
BCR,SMAD3
BCR,SNAI1
BCR,SOX2
BCR,SP1
BCR,STAT1
BCR,STAT5A
BCR,STAT5B
BCR,TAL1
BCR,TBP
BCR,TCF3
BCR,TEAD1
BCR,TEAD2
BCR,TEAD3
BCR,TEAD4
BCR,TERF1
BCR,TP53
BCR,TP63
BCR,TP73
BCR,TWIST1
BCR,XBP1
BCR,YBX1
BCR,ZNF322
BDKRB1,TP53
BIRC2,AIRE
BIRC2,ARNT
BIRC2,ARNTL
BIRC2,CEBPA
BIRC2,EGR1
BIRC2,ETV5
BIRC2,FOS
BIRC2,FOXL2
BIRC2,GATA1
BIRC2,HSF2
BIRC2,IRF5
BIRC2,IRF7
BIRC2,JUN
BIRC2,MITF
BIRC2,MXD1
BIRC2,MYB
