,group,names,scores,logfoldchanges,pvals,pvals_adj,Unnamed: 0,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
229,MSC,ZNF263,-1.7541366,1.2690985,0.0794071140648652,1.0,ZNF2171,0.0048487264494508,1.82177416696624,0.562,0.387,1.0,Fibroblast,ZNF217
230,MSC,ZBTB11,-1.83387,3.0319154,0.0666732910890878,1.0,GFI1,0.0065092189021903,3.22193552068779,0.125,0.079,1.0,Fibroblast,GFI1
231,MSC,NCOA1,-2.0816903,0.3155102,0.0373707680712812,1.0,POU2F2,0.0068243462065147,1.97014892386174,0.234,0.387,1.0,Fibroblast,POU2F2
232,MSC,THAP1,-2.142029,0.7185204,0.0321911372461897,1.0,RUNX21,0.0095497733522442,2.04604419903972,0.453,0.267,1.0,Fibroblast,RUNX2
233,MSC,TAL1,-2.208833,0.19794263,0.027186268170699,1.0,SMAD11,0.0099370720062328,0.828338124126072,0.938,0.838,1.0,Fibroblast,SMAD1
234,MSC,GABPA,-2.208833,4.149608,0.027186268170699,1.0,MYC,3.83527969704759e-16,3.8165887727709,1.0,0.995,1.3768654112400899e-13,Megakaryocyte,MYC
235,MSC,ZNF766,-2.3101158,0.43706012,0.0208817365543783,1.0,SMAD51,1.6396718776058597e-11,2.55452175569006,1.0,0.991,5.88642204060502e-09,Megakaryocyte,SMAD5
236,MSC,ZNF382,-2.314426,1.512331,0.0206443742273154,1.0,NFAT5,7.632078536655229e-11,10.0027457132843,0.794,0.036,2.73991619465923e-08,Megakaryocyte,NFAT5
237,MSC,NFE2,-2.3704548,0.95574945,0.0177662169515504,1.0,ZBED11,1.23273050442351e-10,1.52642757946013,1.0,1.0,4.4255025108804e-08,Megakaryocyte,ZBED1
238,MSC,CLOCK,-2.411399,0.24883473,0.0158914525911935,1.0,ETS1,4.29460152147076e-10,2.38014341224524,1.0,0.878,1.541761946208e-07,Megakaryocyte,ETS1
239,MSC,GATA1,-2.4932873,0.43854195,0.0126566340162603,1.0,STAT4,9.98970012122365e-09,8.41946843821258,0.735,0.208,3.58630234351929e-06,Megakaryocyte,STAT4
240,MSC,MEIS1,-2.7971365,0.36746722,0.0051557723237841,1.0,HIVEP21,1.61569204385382e-07,2.68268529595635,0.882,0.276,5.80033443743523e-05,Megakaryocyte,HIVEP2
241,MSC,ASCL1,-2.7992916,0.3942212,0.0051214863700442,1.0,TEAD21,2.69019417783781e-07,1.20343267005555,1.0,0.706,9.65779709843775e-05,Megakaryocyte,TEAD2
242,MSC,RFX2,-2.874715,0.50546986,0.0040439213125746,1.0,ZBTB332,2.01596752822738e-06,0.393882411750162,1.0,0.959,0.0007237323426336,Megakaryocyte,ZBTB33
243,MSC,RUNX3,-2.8984196,0.40893665,0.0037504832107844,1.0,PITX1,2.17086028031796e-06,4.6324027179298,0.912,0.724,0.0007793388406341,Megakaryocyte,PITX1
244,MSC,PITX1,-3.0621965,1.5274433,0.0021971909977375,0.7887915681877973,STAT5A1,4.94778870254088e-06,1.42371761831833,1.0,0.828,0.0017762561442121,Megakaryocyte,STAT5A
245,MSC,NR2F1,-3.14624,0.5903292,0.0016538424216274,0.5937294293642643,PAX5,7.92934950446795e-06,1.72325534461279,0.882,0.516,0.0028466364721039,Megakaryocyte,PAX5
246,MSC,TERF1,-3.1764095,0.4604193,0.0014911035271549,0.5353061662486291,ZNF2071,8.21167176314552e-06,0.978635678054197,0.971,0.76,0.0029479901629692,Megakaryocyte,ZNF207
247,MSC,ZNF197,-3.3488061,1.2353574,0.0008116056775302,0.291366438233345,ZNF382,8.50358737860348e-06,3.50051374075036,0.912,0.733,0.0030527878689186,Megakaryocyte,ZNF382
248,MSC,BMAL1,-3.4134548,0.8110278,0.0006414477756297,0.2302797514510681,ELF51,5.46056070725067e-05,1.05063387321162,0.853,0.674,0.0196034129390299,Megakaryocyte,ELF5
249,MSC,SETDB1,-3.717304,0.3901418,0.00020136002156,0.0722882477400514,RFX51,6.07164155685443e-05,1.49848365229995,0.882,0.611,0.0217971931891074,Megakaryocyte,RFX5
250,MSC,CREB5,-3.8940108,0.8592453,9.860028951346172e-05,0.0353975039353327,SRF1,6.40093895675923e-05,0.659463819930171,0.882,0.878,0.0229793708547656,Megakaryocyte,SRF
