,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
194,Neural,Neural,ERBB2,STAT5A,Receptor,Transcription Factor,0.328500543571754
195,Neural,Neural,FCGR2A,STAT5A,Receptor,Transcription Factor,0.328500543571754
196,Neural,Neural,FGFR1,STAT5A,Receptor,Transcription Factor,0.328500543571754
197,Neural,Neural,INSR,STAT5A,Receptor,Transcription Factor,0.328500543571754
198,Neural,Neural,ITGA1,STAT5A,Receptor,Transcription Factor,0.328500543571754
199,Neural,Neural,ITGA5,STAT5A,Receptor,Transcription Factor,0.328500543571754
200,Neural,Neural,LRP1,STAT5A,Receptor,Transcription Factor,0.328500543571754
201,Neural,Neural,NGFR,STAT5A,Receptor,Transcription Factor,0.328500543571754
202,Neural,Neural,NTRK2,STAT5A,Receptor,Transcription Factor,0.328500543571754
203,Neural,Neural,PDGFRB,STAT5A,Receptor,Transcription Factor,0.328500543571754
204,Neural,Neural,TGFBR2,STAT5A,Receptor,Transcription Factor,0.328500543571754
205,Neural,Neural,CXCR4,STAT5B,Receptor,Transcription Factor,0.292955264080121
206,Neural,Neural,ERBB2,STAT5B,Receptor,Transcription Factor,0.292955264080121
207,Neural,Neural,FCGR2A,STAT5B,Receptor,Transcription Factor,0.292955264080121
208,Neural,Neural,FGFR1,STAT5B,Receptor,Transcription Factor,0.292955264080121
209,Neural,Neural,INSR,STAT5B,Receptor,Transcription Factor,0.292955264080121
210,Neural,Neural,ITGA1,STAT5B,Receptor,Transcription Factor,0.292955264080121
211,Neural,Neural,ITGA5,STAT5B,Receptor,Transcription Factor,0.292955264080121
212,Neural,Neural,LRP1,STAT5B,Receptor,Transcription Factor,0.292955264080121
213,Neural,Neural,NGFR,STAT5B,Receptor,Transcription Factor,0.292955264080121
214,Neural,Neural,NTRK2,STAT5B,Receptor,Transcription Factor,0.292955264080121
215,Neural,Neural,PDGFRB,STAT5B,Receptor,Transcription Factor,0.292955264080121
216,Neural,Neural,TGFBR2,STAT5B,Receptor,Transcription Factor,0.292955264080121
