"","RNA.Neural","RNA.MSC","RNA.Fibroblast","RNA.Megakaryocyte","RNA.Myeloid"
"MIIP",0.21660005920872,0.520570785507954,0.386175571089581,0.678330611985003,0.140114894213255
"TNFRSF1B",0,0,0,1.70862063961987,0
"DHRS3",0.0598831081728466,2.44168927502306,0.461488762748627,0,0
"PRDM2",0,0.379638084418312,0.280749038434543,0,0.140114894213255
"EFHD2",0.594282997563439,0,0.0115174466281523,0.718489938636925,1.26664608024986
"FBLIM1",0,1.18782892066363,1.02018644227257,0,0.130975769482646
"UQCRHL",5.20577736813543,0.155339323499671,0.441624973509873,0.661176005327361,0.130975769482646
"SPEN",0.652060511215441,0.0782521597596093,1.00964628712844,0,0
"FBXO42",0.0396858468364427,0.412624268837929,0,0,0
"SZRD1",0,0.190037748959319,0.358378355403733,0.392529164430441,0
"NECAP2",1.25639506621803,0.756774831932008,0.187165792583672,1.53697360425621,0
"SDHB",2.91313539340064,0.382508172588745,0.574485413750823,0.21100367036308,0
"PADI4",0,0,0,0.825502472344203,1.90618575096556
"RCC2",0,0.54710283415154,0,0,0.140114894213255
"UBR4",1.87420973411581,1.2032013544519,0.453484710053561,0.0236527399333939,0.140114894213255
"MRTO4",0,0.462045176590679,0.0167252888039244,0.905703209221328,0
"AKR7A2",1.53787856418736,0.192387370833106,0.0230348932563047,3.15407780940018,0.140114894213255
"CAPZB",0,1.69591770616487,1.13373088498189,4.6080730216835,1.11358074582968
"MINOS1",0,1.81101070479408,0.456227487044186,2.99672944904576,2.19798136799404
"NBL1",0,1.46493832462774,2.59826111872558,0.0286172161172161,0
"CDA",0,0,0.0540879686722486,0,5.13108363200464
"PINK1",0.469981292145697,0.0372819935427587,0,0,0
"DDOST",0,0.407879221462052,0.0115174466281523,1.38808703061236,0.887499049669159
"HP1BP3",1.97885469554684,2.3623991249028,2.29400345434214,2.33542565548469,1.11136792634539
"EIF4G3",0,0.265301561180063,0,0,0
"ECE1",0,0,0,0,0
"ALPL",0,0.927435925579138,0,0,0
"USP48",0.201878866864892,0.445961595159687,0.34027494215326,0,0.980392156862745
"HSPG2",0,1.84862271605651,1.10208130278059,0.138765541740675,0.903342366757001
"CDC42",3.79184357795599,1.90153571227912,1.88227996359671,3.34704258740733,0.451350499566507
"KDM1A",0,0.0939001917066314,0,0,0
"LUZP1",0,0.38918461770113,0.895778166589383,0.167291220556745,0
"HNRNPR",1.18827293437144,2.0911701876438,1.19739970320198,1.94906426328938,0
"TCEA3",0,0.532194153694873,0,0.789141414141414,0
"E2F2",0.275568878335923,0,0.133077823911423,0,0.97181729834791
"ID3",0.163030962201898,14.5195194507983,5.4097254859293,0.879528209753811,0
"RPL11",23.3906349679102,17.9007514570158,50.4986499965291,43.7363747329445,14.0775072367179
"TCEB3",0,0.0549788881069669,0,0,0
"PITHD1",3.39390548806277,0.302665654207563,1.97802865944178,0.712386404400729,1.63000377906012
"LYPLA2",0.129334316274137,0.78264328870547,0,0.0376712219000187,0
"GALE",0,0.10465724751439,0.34027494215326,0,0
"FUCA1",0,0.274140288224194,0,0,0
"PNRC2",1.8182931944375,1.49600501951864,0.621787859888536,1.67414339797975,0
"SRSF10",2.40113019005771,0.377079863070046,1.18509161474249,0.361208630067166,2.10505538832628
"RCAN3",0,0,0,0,0
"SRRM1",4.94486504837965,0.816835012702535,1.08890391308299,0.449406399085391,0.130975769482646
"CLIC4",0.281969153805513,0.80552371049866,0.814244760901386,0.224157718908455,0
"RUNX3",0,0.0255613267351029,0,0.365255335314149,0.618429189857761
"SYF2",0.937730053033672,1.04431888206932,0.874009368083781,0.482420600877361,0.130975769482646
"RSRP1",4.49715682461511,3.69184490467312,1.51602212475908,1.15833968623814,1.77538589848923
"TMEM50A",2.80933015940523,3.25016557012673,1.2462157329395,0.576331778714846,0
"RHCE",0.714449905262942,0.251553874924084,0,0.115204039674687,0
"TMEM57",1.60020694554539,0.366077262493941,0,0.322959629021104,0
"LDLRAP1",0,0.92241561356894,0,0.080407328412363,0
"MTFR1L",0,0.41610856747815,1.52222020848703,0.418940458767185,0
"STMN1",58.0439988981532,0.136240184856292,1.78088359446758,3.89146703137942,1.00644365314725
"ZNF593",0.572540936676972,0.503250829809988,0.219610545396031,0.143646869183309,0
"SH3BGRL3",1.56356027550464,2.26136926829034,22.6595456295293,37.160808761018,1.48460874373145
"CD52",0.067165031198157,0,0,8.14134390532683,0
"HMGN2",3.30990633718183,2.29216955456679,11.7924323813185,7.45044282309612,9.89081031794899
"RPS6KA1",0.104329681794471,0.015648031947022,0.551419906258616,0,0
"ARID1A",0,0.717693224471102,0.42105977151831,0,0
"NUDC",1.10347668909488,1.03837942060391,1.68534901140428,0.75879856516593,0
"TMEM222",0.108096466950129,0.331747483310345,0.814597588791137,0.438658525862891,0.311235605353252
