Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
PKNOX1,-1.8534764,0.7263397411271503,CREB1,4.1363144,6.075018143181953e-08,SIX2,0.08953555,1.0,CREB3,0.59392977,1.0,ZBTB7A,0.18760586,1.0
HNF4A,-0.25727493,0.7308257524748588,TWIST2,4.3777404,6.543430775400741e-08,RARA,0.5758038,1.0,ZNF83,0.50546324,1.0,EHF,0.32713145,1.0
FOXP3,-0.35747144,0.7308257524748588,STAT6,3.825114,8.796049806629648e-08,NFATC1,-0.45254466,1.0,MYNN,0.613181,1.0,MSX2,-1.2910708,1.0
BRF2,0.7912488,0.7629465336486883,MAZ,5.418135,8.926654156427165e-08,IRF4,0.17596379,1.0,KLF4,-0.93924916,1.0,BHLHE22,0.2357249,1.0
MEIS2,-0.27109656,0.7723588269059601,SOX2,-0.5841842,1.534553508099233e-07,HOXB7,0.27766958,1.0,TAL1,-0.17649302,1.0,SNAPC4,0.31571832,1.0
HOXA1,4.2656684,0.7963571962751781,KLF4,,1.8532699713844777e-07,NR2F1,0.13709824,1.0,SREBF1,0.37045068,1.0,NME2,0.1544688,1.0
TCF7,,0.9438415962194234,CEBPG,,1.907719242428491e-07,REST,1.0348145,1.0,GLI2,,1.0,CLOCK,0.07041484,1.0
HINFP,,0.9726675026498806,KLF6,,2.141557325183153e-07,STAT6,-0.98699564,1.0,ZNF639,0.45861027,1.0,CEBPZ,-3.339411,1.0
PITX1,,1.0,GATA2,-4.48521,2.4381132344936304e-07,ARNT,0.051768985,1.0,JUNB,1.2644861,1.0,CREM,0.5764153,1.0
ASCL1,-0.23521717,1.0,GATA3,-0.6032935,2.6961162000963695e-07,TEAD4,0.17742288,1.0,NFKB1,0.48446134,1.0,HNF1B,0.37712228,1.0
GATA2,-0.23877652,1.0,SOX11,-2.1479187,3.6403859599408433e-07,OTX2,0.13291173,1.0,RFX5,0.71829647,1.0,YBX1,-2.2970002,1.0
DDIT3,0.98331356,1.0,NCOA3,-1.2182778,6.410147659900779e-07,SREBF1,-0.2682612,1.0,EHF,-0.33928245,1.0,HES1,0.13095006,1.0
HIF1A,0.8805915,1.0,ZNF92,-1.8439953,6.592678993182166e-07,TERF1,0.05735431,1.0,TBP,0.43788233,1.0,MAX,-0.92503095,1.0
GLYR1,-0.48008412,1.0,REST,,6.876007241957011e-07,HMGN3,-0.31654826,1.0,ZNF263,-0.38629448,1.0,MTF1,-2.0610986,1.0
ZNF639,1.0879414,1.0,CUX1,3.3747084,8.132733533177797e-07,GTF2B,0.079152994,1.0,HOXA10,-0.14507885,1.0,RUNX3,0.16342463,1.0
ZBTB11,,1.0,SP4,2.4050915,9.746652446331384e-07,NRF1,-0.37924442,1.0,FLI1,-1.0147796,1.0,DUX4,0.23324457,1.0
SOX10,-0.36556843,1.0,FOXP1,3.3806906,1.1833350088681797e-06,FOXA2,0.11856458,1.0,RFX2,-0.5680358,1.0,HOXA1,,1.0
SPDEF,,1.0,RUNX1,-0.7169892,1.4352593523538916e-06,TGIF2,-0.23083188,1.0,TFDP1,0.27649498,1.0,ESR2,-0.8789429,1.0
SOX4,-0.17303209,1.0,GRHL2,-5.93756,3.8127381485157794e-06,HINFP,,1.0,HNF4G,-0.2886603,1.0,ZBED1,-0.8489385,1.0
CTCF,-0.11480905,1.0,PDX1,-0.9551876,4.243083909862411e-06,BATF,0.22064763,1.0,E2F3,-0.33631933,1.0,POU2F1,0.43021783,1.0
TBP,0.6008741,1.0,SNAI2,-3.4185028,4.357836172756579e-06,MAFK,0.111261114,1.0,KLF8,-1.5197825,1.0,SNAI2,0.32087442,1.0
STAT1,2.8138485,1.0,LHX2,,4.596457013112374e-06,FOXO1,0.2104255,1.0,SATB1,-0.23235606,1.0,ZKSCAN1,-0.89722884,1.0
NRF1,0.8936095,1.0,ZHX1,2.5721028,5.249897483126822e-06,SNAI1,0.6222882,1.0,ATF3,,1.0,THAP11,,1.0
PAX2,,1.0,CTCF,-0.7014535,6.072934059752025e-06,TERF2,0.13414478,1.0,FOXO4,1.2149509,1.0,NR2F1,0.1801025,1.0
KLF2,0.08351452,1.0,SOX10,,7.399784123843454e-06,EBF1,0.16282903,1.0,ZHX1,0.052937414,1.0,NFATC1,-0.84805727,1.0
EGR1,-0.65777504,1.0,HSF2,1.9020195,1.0127650421458656e-05,IRF8,,1.0,ZNF592,0.35683408,1.0,TCF3,0.51249605,1.0
CREB3L1,0.7699666,1.0,JUND,3.4179225,1.1383944713864494e-05,PAX8,0.11507108,1.0,HINFP,0.7248925,1.0,ZNF24,,1.0
USF2,0.4977093,1.0,ZNF217,,1.904842379588957e-05,CREB1,-1.1141064,1.0,ATF6,0.65833145,1.0,SIX2,0.1266316,1.0
ESRRA,-0.38418674,1.0,ARID3A,,1.9293163107857844e-05,GLI1,,1.0,ZNF24,0.5859238,1.0,MAFB,0.11198156,1.0
CTCFL,-1.1826918,1.0,CEBPA,,2.0563292178845716e-05,FOXM1,-0.4389416,1.0,HNF1B,-0.17438209,1.0,SATB1,0.29985496,1.0
CEBPZ,2.693229,1.0,NFYC,2.93725,2.276574558133982e-05,NR3C1,0.5486779,1.0,TBX21,0.011276991,1.0,SOX11,0.17632812,1.0
TCF7L2,-0.36447188,1.0,BATF,-3.7714262,3.6751380492611045e-05,ZHX1,-0.5632134,1.0,RARA,,1.0,IRF4,0.25475,1.0
KMT2A,-0.6563566,1.0,ZNF263,,3.863530149600753e-05,HNF1B,0.3718941,1.0,ATF2,-0.40026975,1.0,SNAI1,-4.51245,1.0
TFCP2,-0.16602069,1.0,TP63,-1.2312999,4.01092366500485e-05,SPIB,0.17466566,1.0,STAT5B,0.21383764,1.0,TBX21,0.19296858,1.0
E2F6,,1.0,HOXA9,,4.7149604128931985e-05,FOSL2,0.41375265,1.0,IRF4,0.03976862,1.0,EOMES,0.1233764,1.0
GATA3,-0.06349021,1.0,ATF3,,5.078896147122432e-05,NFYC,-0.17173098,1.0,CEBPZ,-0.16785187,1.0,PPARG,1.0376645,1.0
HOXB13,-0.09481972,1.0,TCF7L2,,5.270909388385828e-05,TFCP2,,1.0,KLF9,-0.32534462,1.0,FOSB,,1.0
KLF3,-2.105286,1.0,MAFB,-0.76013595,6.825743590800398e-05,CDX2,0.4405243,1.0,YY1,0.113640726,1.0,ZNF750,0.16287856,1.0
FOXP1,1.1003371,1.0,KMT2A,,7.808574210912919e-05,MAFB,0.08553144,1.0,CEBPD,0.24818029,1.0,PAX5,1.405251,1.0
E2F1,-0.2806083,1.0,TFAP2C,-0.7335792,9.036579338107907e-05,CEBPG,0.1759662,1.0,MECP2,-0.87793386,1.0,ASCL1,0.1635617,1.0
ZNF740,1.0383409,1.0,ZZZ3,,0.00010324641025557759,GRHL2,0.28778684,1.0,CDX2,0.025254836,1.0,MAF,1.0843257,1.0
MNT,-2.8849876,1.0,TFAP4,-1.6263654,0.0001428253506838488,TFAP4,0.26094943,1.0,TERF1,0.022498148,1.0,ONECUT1,0.17395914,1.0
HMGN3,0.5173145,1.0,AR,3.291532,0.00014627883512534628,KLF5,-0.5200674,1.0,PROX1,0.036772892,1.0,HOXA9,0.39510465,1.0
SOX9,0.48968846,1.0,SNAI1,2.865509,0.00032568557257442736,RUNX2,0.29349133,1.0,ELK1,-0.10724768,1.0,ZBTB33,-0.65268755,1.0
MYBL2,-1.1440392,1.0,MAFG,-1.5143069,0.00034913094760841135,EHF,0.14849943,1.0,NFE2L2,0.13789962,1.0,ZNF584,-4.3709664,1.0
IRF3,,1.0,MAFF,,0.0003785393564512278,ZNF274,-1.5529562,1.0,SOX9,0.08831582,1.0,TWIST2,,1.0
NFYA,0.5498059,1.0,SOX13,,0.00043458421810410597,TWIST1,0.37627536,1.0,PIN1,-1.3092495,1.0,NFKB2,0.56720644,1.0
RFX2,-0.7152223,1.0,TP73,-1.9535835,0.0004817714831662171,THAP1,,1.0,ZZZ3,0.009621919,1.0,NCOA1,0.34207693,1.0
ARID3A,,1.0,GATA4,-3.5492537,0.0006850060229412431,YBX1,1.9569846,1.0,ZBTB11,0.07856917,1.0,SRF,-2.7962532,1.0
ZBTB7A,-0.39002126,1.0,PAX8,-0.7950308,0.0007580205147592872,TP73,0.24018452,1.0,CREB1,-0.2795676,1.0,ZNF263,0.5077008,1.0
SREBF1,0.5044,1.0,SP3,2.796178,0.0008199198405363746,TWIST2,0.3003333,1.0,CBX2,-0.04528256,1.0,PAX8,0.18158759,1.0
TAL1,-0.0897524,1.0,RARG,1.673163,0.0008768136114056226,PROX1,0.36244458,1.0,ZC3H8,-0.6814829,1.0,RELA,,1.0
ZHX2,0.40867165,1.0,FOSL1,,0.0008966065711993373,NCOA3,0.12657523,1.0,PPARA,-0.12167504,1.0,PDX1,0.12178083,1.0
MAFG,-0.1301942,1.0,RELA,3.9248588,0.0009585920958835848,GATA6,0.4075238,1.0,PKNOX1,0.011058803,1.0,FOXL2,,1.0
