Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
DDIT3,,2.459464155664409e-08,NR2F6,,3.220034391766269e-05,ZNF584,-0.82412905,1.0,PPARD,1.9785218,1.0,EBF1,-1.284198,1.0
FOXO4,0.7817032,3.557303217820848e-08,MEF2C,3.6852643,4.08162330913868e-05,ETV6,0.73277867,1.0,SREBF1,0.5713955,1.0,FLI1,-0.5593926,1.0
CREB5,,5.430121109352257e-08,CEBPD,2.126939,4.130104025442089e-05,SREBF2,-0.42862034,1.0,KMT2B,0.547334,1.0,IRF3,1.7450682,1.0
MAFG,-1.1142017,6.585959505135004e-08,ERG,,4.870219003254535e-05,SNAI2,-1.148193,1.0,BRF2,0.22767125,1.0,BHLHE40,0.7334899,1.0
ZNF197,,6.969449653278243e-08,ZBED1,3.0581684,6.226024066830987e-05,NR1I2,0.7537341,1.0,BATF,-0.26871562,1.0,TEAD2,0.64253455,1.0
ZNF143,-1.8900193,7.543204887090314e-08,ZNF175,,8.035766269639044e-05,NEUROD1,,1.0,IRF1,0.73459166,1.0,BATF,-1.2303079,1.0
NFYC,1.6317778,1.8852002911500637e-07,ATF4,4.1909847,8.611638156519536e-05,ELF3,-1.7672445,1.0,SP2,0.20014282,1.0,SP2,1.1196741,1.0
SOX11,-1.3601391,4.928307465906981e-07,RXRA,2.6857436,0.00010710428399006743,OTX2,-0.3148055,1.0,CEBPZ,0.23443,1.0,SREBF1,0.6621447,1.0
NFKB2,,4.928307465906981e-07,HNF4G,,0.00011601824561085022,RFX1,,1.0,IRF9,0.30876592,1.0,JUNB,0.89407,1.0
KMT2A,,6.379694166670539e-07,TEAD1,,0.0001285360536311584,FOSL2,-1.9448,1.0,RELA,-0.31128785,1.0,STAT2,-0.26565275,1.0
RFX2,-0.5292184,8.976863023817078e-07,ELK4,3.1463294,0.00016119242644965312,ETS1,0.4107091,1.0,E2F4,0.332521,1.0,ZNF207,0.6456021,1.0
EGR1,,1.8947470615425273e-06,MYCN,,0.0002157709849437018,ZHX1,0.37296152,1.0,POU2F2,-0.26358047,1.0,BACH2,1.0860432,1.0
CEBPG,-1.0519575,2.586423116945923e-06,STAT6,2.7833796,0.00022561104388126558,MNT,-1.679749,1.0,REL,-0.65842015,1.0,ETS1,1.1128775,1.0
SIX2,-1.8684473,5.030183166366465e-06,YBX1,,0.00031450000773182023,HMGN3,0.3189326,1.0,ELK1,0.06685747,1.0,E2F1,-0.60600686,1.0
EOMES,-1.0386776,5.73739095484248e-06,HNF1B,,0.0010162760563267239,FOSL1,-0.31658927,1.0,WT1,0.049705233,1.0,SIX5,0.55754334,1.0
HES1,-1.1975191,7.835744391747077e-06,TBP,1.8616112,0.0010710848245222117,E2F5,0.54947054,1.0,MECP2,,1.0,MEIS1,-0.17634794,1.0
STAT4,-0.80067486,1.6625251539768402e-05,ONECUT1,,0.00109379298325329,CREM,-2.9748013,1.0,ZKSCAN1,0.20678334,1.0,CREB5,,1.0
FOXK2,,2.14211527623042e-05,ZBTB2,0.035088636,0.001240050976013841,NFIA,2.8781092,1.0,JUNB,-0.13191354,1.0,CEBPZ,1.2243674,1.0
MYOD1,-1.2928561,2.2054054362228182e-05,FOXP1,1.8822485,0.0012794459201604632,NFE2L2,0.38525113,1.0,EHF,-0.2709611,1.0,ZBTB16,0.19157858,1.0
PAX8,-0.600518,2.8904293424643215e-05,KDM5B,,0.0016407860864644107,SP1,0.3201415,1.0,ZNF318,-0.010413936,1.0,SOX6,,1.0
CLOCK,-0.53376496,3.5691461004450855e-05,SRF,2.3833833,0.00170981161868109,NR3C1,-2.3896623,1.0,TGIF2,0.13753903,1.0,ESR2,0.2511895,1.0
PKNOX1,-1.287591,5.2184111182740756e-05,ATF3,,0.0021639616188813895,MYOD1,-0.13440959,1.0,E2F2,-0.029419987,1.0,TERF1,-0.44654542,1.0
FOXK1,2.560358,6.066791501441356e-05,MAZ,3.621408,0.00220849706871273,PKNOX1,-0.23778717,1.0,DEAF1,-0.052954275,1.0,ZEB1,0.41505507,1.0
GABPA,,6.789087943770437e-05,GRHL2,,0.0022310923918894303,ZFX,0.26674953,1.0,EBF1,-0.0057693874,1.0,EPAS1,0.87093496,1.0
DUX4,,8.412681505424484e-05,PAX6,1.810477,0.003306846917165963,HES1,-0.4309443,1.0,BHLHE40,-0.19473523,1.0,SREBF2,-0.18158619,1.0
GLYR1,-1.6125714,9.402730666358375e-05,TWIST1,,0.003476248321381112,CBX2,-0.08235207,1.0,RBPJ,0.073966965,1.0,ARID3A,,1.0
CEBPE,-0.7567391,0.00012169971385659389,ESRRA,-2.0884466,0.004543982695045919,HSF2,-1.6581432,1.0,IRF4,0.048938148,1.0,GLI1,0.23406701,1.0
HOXB13,-0.63648385,0.00012282094834837836,GATA6,,0.005422550929562734,CREB3,-4.9760656,1.0,BACH2,-0.27441797,1.0,ZBED1,0.5394445,1.0
NCOA1,-0.82947737,0.0001297606963984464,NR1H4,,0.005749808754238197,TCF4,0.38174286,1.0,FOXO3,2.1780183,1.0,TGIF2,0.62360024,1.0
FOXA2,-1.2184813,0.00013095352270608691,FOXM1,1.7616116,0.006276211353483286,USF1,0.09318868,1.0,TFDP1,-0.21631587,1.0,ZZZ3,0.2918741,1.0
