,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
278,Neural,Neural,INSR,TWIST1,Receptor,Transcription Factor,0.0002651472753512
279,Neural,Neural,ITGB1,TWIST1,Receptor,Transcription Factor,0.0002651472753512
280,Neural,Neural,MET,TWIST1,Receptor,Transcription Factor,0.0002651472753512
281,Neural,Neural,NTRK2,TWIST1,Receptor,Transcription Factor,0.0002651472753512
282,Neural,Neural,PDGFRB,TWIST1,Receptor,Transcription Factor,0.0002651472753512
283,Neural,Neural,PTPRF,TWIST1,Receptor,Transcription Factor,0.0002651472753512
284,Neural,Neural,TGFBR1,TWIST1,Receptor,Transcription Factor,0.0002651472753512
288,Neural,Neural,DIP2A,XBP1,Receptor,Transcription Factor,0.222176080602998
289,Neural,Neural,INSR,XBP1,Receptor,Transcription Factor,0.222176080602998
290,Neural,Neural,PDGFRB,XBP1,Receptor,Transcription Factor,0.222176080602998
309,Fibroblast,Fibroblast,ITGB1,ARNT,Receptor,Transcription Factor,0.117346835530225
310,Fibroblast,Fibroblast,PTPRF,ARNT,Receptor,Transcription Factor,0.117346835530225
312,Fibroblast,Fibroblast,INSR,CREM,Receptor,Transcription Factor,0.2128939307338
313,Fibroblast,Fibroblast,ITGB1,CREM,Receptor,Transcription Factor,0.2128939307338
314,Fibroblast,Fibroblast,MYLK,CREM,Receptor,Transcription Factor,0.2128939307338
315,Fibroblast,Fibroblast,PTPRF,CREM,Receptor,Transcription Factor,0.2128939307338
318,Fibroblast,Fibroblast,ITGB1,EPAS1,Receptor,Transcription Factor,0.365121072900912
319,Fibroblast,Fibroblast,LRP6,EPAS1,Receptor,Transcription Factor,0.365121072900912
320,Fibroblast,Fibroblast,PTPRF,EPAS1,Receptor,Transcription Factor,0.365121072900912
321,Fibroblast,Fibroblast,TGFBR1,EPAS1,Receptor,Transcription Factor,0.365121072900912
346,Fibroblast,Fibroblast,INSR,GLI1,Receptor,Transcription Factor,0.135050770119442
347,Fibroblast,Fibroblast,ITGB1,GLI1,Receptor,Transcription Factor,0.135050770119442
348,Fibroblast,Fibroblast,LRP6,GLI1,Receptor,Transcription Factor,0.135050770119442
349,Fibroblast,Fibroblast,MET,GLI1,Receptor,Transcription Factor,0.135050770119442
350,Fibroblast,Fibroblast,PDGFRB,GLI1,Receptor,Transcription Factor,0.135050770119442
351,Fibroblast,Fibroblast,PTPRF,GLI1,Receptor,Transcription Factor,0.135050770119442
352,Fibroblast,Fibroblast,TGFBR1,GLI1,Receptor,Transcription Factor,0.135050770119442
353,Fibroblast,Fibroblast,LRP6,GLI2,Receptor,Transcription Factor,0.570135759121887
354,Fibroblast,Fibroblast,TGFBR1,GLI2,Receptor,Transcription Factor,0.570135759121887
355,Fibroblast,Fibroblast,FZD5,HIF1A,Receptor,Transcription Factor,0.325279434219183
356,Fibroblast,Fibroblast,ITGB1,HIF1A,Receptor,Transcription Factor,0.325279434219183
357,Fibroblast,Fibroblast,LRP6,HIF1A,Receptor,Transcription Factor,0.325279434219183
358,Fibroblast,Fibroblast,PTPRF,HIF1A,Receptor,Transcription Factor,0.325279434219183
359,Fibroblast,Fibroblast,RYK,HIF1A,Receptor,Transcription Factor,0.325279434219183
360,Fibroblast,Fibroblast,TGFBR1,HIF1A,Receptor,Transcription Factor,0.325279434219183
361,Fibroblast,Fibroblast,AXL,HNF1A,Receptor,Transcription Factor,0.0264905000496702
362,Fibroblast,Fibroblast,MET,HNF1A,Receptor,Transcription Factor,0.0264905000496702
363,Fibroblast,Fibroblast,ITGB1,HOXB7,Receptor,Transcription Factor,0.250993072083848
364,Fibroblast,Fibroblast,PTPRF,HOXB7,Receptor,Transcription Factor,0.250993072083848
365,Fibroblast,Fibroblast,INSR,JUND,Receptor,Transcription Factor,0.25485056012152
366,Fibroblast,Fibroblast,ITGB1,KLF1,Receptor,Transcription Factor,0.0095439856156979
367,Fibroblast,Fibroblast,PTPRF,KLF1,Receptor,Transcription Factor,0.0095439856156979
368,Fibroblast,Fibroblast,TGFBR1,KLF1,Receptor,Transcription Factor,0.0095439856156979
369,Fibroblast,Fibroblast,FZD5,MAX,Receptor,Transcription Factor,0.192147997972093
370,Fibroblast,Fibroblast,ITGB1,MAX,Receptor,Transcription Factor,0.192147997972093
371,Fibroblast,Fibroblast,PTPRF,MAX,Receptor,Transcription Factor,0.192147997972093
372,Fibroblast,Fibroblast,RYK,MAX,Receptor,Transcription Factor,0.192147997972093
373,Fibroblast,Fibroblast,TGFBR1,MAX,Receptor,Transcription Factor,0.192147997972093
374,Fibroblast,Fibroblast,ITGB1,MAZ,Receptor,Transcription Factor,0.183122383399094
375,Fibroblast,Fibroblast,PTPRF,MAZ,Receptor,Transcription Factor,0.183122383399094
376,Fibroblast,Fibroblast,TGFBR1,MAZ,Receptor,Transcription Factor,0.183122383399094
378,Fibroblast,Fibroblast,DIP2A,MYOD1,Receptor,Transcription Factor,0.0630884422477221
379,Fibroblast,Fibroblast,INSR,MYOD1,Receptor,Transcription Factor,0.0630884422477221
380,Fibroblast,Fibroblast,PDGFRB,MYOD1,Receptor,Transcription Factor,0.0630884422477221
381,Fibroblast,Fibroblast,TGFBR1,MYOD1,Receptor,Transcription Factor,0.0630884422477221
406,Fibroblast,Fibroblast,LRP6,PRDM1,Receptor,Transcription Factor,0.381769582337642
407,Fibroblast,Fibroblast,TGFBR1,PRDM1,Receptor,Transcription Factor,0.381769582337642
409,Fibroblast,Fibroblast,DIP2A,RUNX2,Receptor,Transcription Factor,0.250424434492815
410,Fibroblast,Fibroblast,INSR,RUNX2,Receptor,Transcription Factor,0.250424434492815
411,Fibroblast,Fibroblast,ITGB1,RUNX2,Receptor,Transcription Factor,0.250424434492815
412,Fibroblast,Fibroblast,MET,RUNX2,Receptor,Transcription Factor,0.250424434492815
413,Fibroblast,Fibroblast,NTRK2,RUNX2,Receptor,Transcription Factor,0.250424434492815
414,Fibroblast,Fibroblast,PDGFRB,RUNX2,Receptor,Transcription Factor,0.250424434492815
415,Fibroblast,Fibroblast,PTPRF,RUNX2,Receptor,Transcription Factor,0.250424434492815
416,Fibroblast,Fibroblast,TGFBR1,RUNX2,Receptor,Transcription Factor,0.250424434492815
