"","gene","tag","cluster","z_score"
"Fibroblast.HIF1A","HIF1A","*","Fibroblast",-0.652160142908205
"Fibroblast.HIVEP2","HIVEP2","***","Fibroblast",-0.572570166662577
"Fibroblast.HNF1A","HNF1A","**","Fibroblast",-0.251158659178601
"Fibroblast.HNF1B","HNF1B","*","Fibroblast",-0.250548009797441
"Fibroblast.HNF4A","HNF4A","**","Fibroblast",-0.797658263315455
"Fibroblast.HNF4G","HNF4G","*","Fibroblast",-0.547522429942386
"Fibroblast.HOXA10","HOXA10","*","Fibroblast",-0.162443562210418
"Fibroblast.HOXB13","HOXB13","*","Fibroblast",-0.272533484222612
"Fibroblast.HOXB7","HOXB7","*","Fibroblast",-0.0709759037709618
"Fibroblast.HSF2","HSF2","*","Fibroblast",0.110488465311558
"Fibroblast.IRF9","IRF9","**","Fibroblast",-0.65848876289195
"Fibroblast.JUND","JUND","*","Fibroblast",-0.497158738274989
"Fibroblast.KDM5B","KDM5B","**","Fibroblast",-0.230541455058448
"Fibroblast.KLF1","KLF1","*","Fibroblast",-0.287350902024576
"Fibroblast.KLF10","KLF10","**","Fibroblast",-0.442926826119368
"Fibroblast.KLF4","KLF4","***","Fibroblast",-0.284554362193124
"Fibroblast.KLF6","KLF6","**","Fibroblast",-0.566441173817141
"Fibroblast.KLF8","KLF8","***","Fibroblast",-0.101112059955853
"Fibroblast.KLF9","KLF9","*","Fibroblast",-0.256751604117775
"Fibroblast.LHX2","LHX2","***","Fibroblast",-0.177633684869028
"Fibroblast.MAF","MAF","*","Fibroblast",-0.703227052352052
"Fibroblast.MAFF","MAFF","*","Fibroblast",-0.369254523748509
"Fibroblast.MAFG","MAFG","*","Fibroblast",-0.432359714544538
"Fibroblast.MAFK","MAFK","*","Fibroblast",-0.17844585716007
"Fibroblast.MAX","MAX","**","Fibroblast",-0.334550624856117
"Fibroblast.MAZ","MAZ","*","Fibroblast",-0.361259133546783
"Fibroblast.MBD3","MBD3","**","Fibroblast",-0.292210086518181
"Fibroblast.MECP2","MECP2","*","Fibroblast",-0.0311940839618195
"Fibroblast.MEIS1","MEIS1","*","Fibroblast",-0.377584411234454
"Fibroblast.MYBL2","MYBL2","*","Fibroblast",-0.447328192537858
"Fibroblast.MYOD1","MYOD1","**","Fibroblast",-0.337399966335851
"Fibroblast.NANOG","NANOG","*","Fibroblast",-0.454918189144857
"Fibroblast.NCOA2","NCOA2","*","Fibroblast",-0.316382203901653
"Fibroblast.NCOA3","NCOA3","**","Fibroblast",-0.232454597585201
"Fibroblast.NFKB1","NFKB1","*","Fibroblast",-0.474943023942076
"Fibroblast.NFYA","NFYA","*","Fibroblast",-0.122791293809882
"Fibroblast.NFYB","NFYB","*","Fibroblast",-0.0494403889217129
"Fibroblast.NR1H2","NR1H2","*","Fibroblast",-0.570353979081977
"Fibroblast.NR2F2","NR2F2","*","Fibroblast",-0.604736417591688
"Fibroblast.NR2F6","NR2F6","*","Fibroblast",-0.582565056395976
"Fibroblast.NR3C1","NR3C1","**","Fibroblast",-0.25062386167077
"Fibroblast.NR4A1","NR4A1","***","Fibroblast",-0.585776276841925
"Fibroblast.ONECUT1","ONECUT1","**","Fibroblast",-0.253285711696849
"Fibroblast.OTX2","OTX2","**","Fibroblast",-0.176522247194786
"Fibroblast.PAX6","PAX6","**","Fibroblast",0.109074088768962
"Fibroblast.PBX3","PBX3","***","Fibroblast",-0.318442991160821
"Fibroblast.PGR","PGR","**","Fibroblast",-0.184753066909936
"Fibroblast.POU2F2","POU2F2","*","Fibroblast",-0.312268685556413
"Fibroblast.POU4F2","POU4F2","*","Fibroblast",-0.079275928554166
"Fibroblast.POU5F1","POU5F1","*","Fibroblast",-0.260529629205742
"Fibroblast.PRDM1","PRDM1","***","Fibroblast",-0.659141197968102
"Fibroblast.PRDM14","PRDM14","***","Fibroblast",-0.481469823291625
"Fibroblast.PROX1","PROX1","***","Fibroblast",-0.200793908526104
"Fibroblast.RELB","RELB","*","Fibroblast",-0.602087315755613
"Fibroblast.RFX1","RFX1","*","Fibroblast",-0.25387304210415
"Fibroblast.RFX5","RFX5","*","Fibroblast",-0.223907175640249
"Fibroblast.RUNX1","RUNX1","*","Fibroblast",-0.55724549477743
"Fibroblast.RUNX2","RUNX2","**","Fibroblast",-0.246619004524834
"Fibroblast.RXRA","RXRA","**","Fibroblast",-0.344571151544472
"Fibroblast.SIX2","SIX2","*","Fibroblast",-0.160777669813591
"Fibroblast.SMAD1","SMAD1","*","Fibroblast",-0.500481256619133
"Fibroblast.SMAD3","SMAD3","**","Fibroblast",-0.394488607054133
"Fibroblast.SNAI1","SNAI1","**","Fibroblast",0.131880344912617
"Fibroblast.SNAI2","SNAI2","***","Fibroblast",-0.33155428896833
"Fibroblast.SOX2","SOX2","**","Fibroblast",-0.438402583450695
"Fibroblast.SP2","SP2","**","Fibroblast",0.528801765982666
"Fibroblast.SP3","SP3","*","Fibroblast",-0.390191728229727
"Fibroblast.SREBF2","SREBF2","*","Fibroblast",-0.311213167762467
"Fibroblast.SRF","SRF","**","Fibroblast",-0.189124467364756
"Fibroblast.STAT2","STAT2","***","Fibroblast",-0.726251738256217
"Fibroblast.STAT5B","STAT5B","**","Fibroblast",-0.757380707322184
"Fibroblast.TCF12","TCF12","**","Fibroblast",-0.434554120488589
"Fibroblast.TCF4","TCF4","**","Fibroblast",-0.407877829731989
"Fibroblast.TCF7L2","TCF7L2","*","Fibroblast",-0.458562925166013
"Fibroblast.TEAD1","TEAD1","**","Fibroblast",-0.25381855656261
"Fibroblast.TEAD4","TEAD4","***","Fibroblast",-0.257019454100398
"Fibroblast.TFAP2C","TFAP2C","**","Fibroblast",-0.723567091164512
"Fibroblast.TFDP1","TFDP1","*","Fibroblast",0.112131717653289
"Fibroblast.TWIST1","TWIST1","**","Fibroblast",-0.192665872027695
"Fibroblast.TWIST2","TWIST2","*","Fibroblast",0.052809866311196
"Fibroblast.USF2","USF2","*","Fibroblast",-0.573931487873226
