"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MTF1",4.08188382525939e-12,1.00045429791276,0.652,0.336,1.46539629326812e-09,"Neural","MTF1"
"E2F5",5.2851149273743e-12,1.65811425249001,0.955,0.71,1.89735625892737e-09,"Neural","E2F5"
"MITF",5.35363952803036e-12,0.79201627652328,0.723,0.313,1.9219565905629e-09,"Neural","MITF"
"FOS",1.27566790201742e-11,1.73907866277886,0.616,0.29,4.57964776824253e-09,"Neural","FOS"
"ZNF644",1.66286580447335e-11,1.98374780975343,0.821,0.496,5.96968823805932e-09,"Neural","ZNF644"
"HBP1",2.33315314635371e-11,1.4016108161872,0.938,0.641,8.37601979540983e-09,"Neural","HBP1"
"NEUROD1",1.13850634901771e-10,0.507110848307115,0.875,0.466,4.08723779297358e-08,"Neural","NEUROD1"
"THAP11",8.75609070626921e-10,3.06346436372738,0.696,0.389,3.14343656355065e-07,"Neural","THAP11"
"HHEX",3.25485471886442e-09,0.968715015499873,0.732,0.427,1.16849284407233e-06,"Neural","HHEX"
"KMT2B",6.66342142264816e-09,1.6246536475409,0.759,0.435,2.39216829073069e-06,"Neural","KMT2B"
"EPAS1",1.97383094258656e-08,1.43202718536582,0.812,0.458,7.08605308388576e-06,"Neural","EPAS1"
"MXI1",4.02429982536632e-08,0.730876443582062,0.902,0.664,1.44472363730651e-05,"Neural","MXI1"
"DEAF1",4.02429982536632e-08,1.37034052258205,0.839,0.641,1.44472363730651e-05,"Neural","DEAF1"
"ZNF318",5.42801781359903e-08,1.75226139148566,0.991,0.962,1.94865839508205e-05,"Neural","ZNF318"
"PAX3",1.58313834100934e-07,1.92572270069101,0.473,0.252,5.68346664422351e-05,"Neural","PAX3"
"THAP1",3.27078478652796e-07,1.85405034467852,0.705,0.435,0.000117421173836354,"Neural","THAP1"
"KLF8",4.05071761655618e-07,2.70167063322549,0.125,0.107,0.000145420762434367,"Neural","KLF8"
"MYNN",4.58154075894104e-07,0.888983930816869,0.893,0.649,0.000164477313245983,"Neural","MYNN"
"CEBPD",1.9605869683462e-06,0.559814809114675,0.973,0.885,0.000703850721636287,"Neural","CEBPD"
"ZNF83",2.41312707413133e-06,2.45339643603795,0.839,0.679,0.000866312619613147,"Neural","ZNF83"
"STAT5A",5.98952470233935e-06,2.21910239103402,0.973,0.962,0.00215023936813983,"Neural","STAT5A"
"MYCN",8.44718469379015e-06,1.69247590934593,0.759,0.542,0.00303253930507066,"Neural","MYCN"
"BHLHE40",2.1174465724751e-05,1.13803422849121,0.839,0.641,0.00760163319518559,"Neural","BHLHE40"
"TFDP1",2.97676048097659e-05,0.310569611853122,0.982,0.863,0.010686570126706,"Neural","TFDP1"
"STAT5B",4.3288713502202e-05,1.93923917797554,0.661,0.443,0.0155406481472905,"Neural","STAT5B"
"ZNF584",6.15470891718049e-05,0.916476777882061,0.723,0.458,0.022095405012678,"Neural","ZNF584"
