"","Fibroblast","Megakaryocyte","MSC","Myeloid","Neural"
"ETV4",-0.290202950877978,0.47441847680036,1.02418679581324,-0.459863475256702,-0.40558001600441
"ETV6",0.0634337418204956,0.512312773193039,0.287257809794672,0.0855407600803191,-0.296893141699748
"FLI1",-0.275291229192231,0.134688377245341,0.608819219583251,-0.912111755064622,-0.0438462237846296
"FOS",-0.70931933707842,-0.568958299573771,0.360654053469571,-1.41562357816803,0.46898485214592
"FOSB",-0.363049769259697,0.224865351586158,0.61566450709303,-0.44563654851708,-0.144066405988564
"FOSL1",-0.433344085529019,-0.230564203423961,0.631009821278884,-0.844690248110733,0.0713598129191243
"FOSL2",-0.282644192678687,-0.345251482878486,1.29306286817705,-0.687244300423716,-0.25892174604369
"FOXA1",-0.704398054196626,-1.02015830994406,0.594941131274972,-1.02305625614051,0.405450636864125
"FOXA2",-0.210224924318294,-0.678664663395276,1.07499704769022,-0.401737413756816,-0.151593143868974
"FOXD3",0.0714543881016843,-0.0600766249815249,0.377604707116986,-0.105057296614994,-0.146037422607951
"FOXF2",0.0685922668350991,-0.620856041598786,0.628215107108497,-0.220800519969559,-0.0809609176720606
"FOXJ2",-0.476376490370836,-0.326805053580309,0.198322625441702,-0.890803665242505,0.307051298947301
"FOXK1",-0.70736253355563,-0.970751889892719,-0.372777366429332,-0.5340101069477,0.715932085577939
"FOXK2",-0.661727820083805,-0.579589471167648,-0.184195111518416,-1.03540694061261,0.61980099121386
"FOXL2",-0.0314514165025425,-0.386987278071074,1.07178451409934,-0.575147488908647,-0.238994102904131
"FOXM1",-0.0798786484618354,-0.31508967954077,1.07251532634469,-0.627673934485521,-0.235246243804522
"FOXO1",-0.234446582276861,-0.448057960966331,0.65886662196476,-0.618140361365695,0.019405835269256
"FOXO3",-0.5320161592768,-0.470761716304062,-0.325012758660542,-0.99664189241906,0.610711685787089
"FOXO4",-0.00284552463272226,0.174150960757554,-0.350040702667431,-0.553666522371944,0.220931391400725
"FOXP1",-0.0114168678672237,-1.29307199659803,0.808625404877593,-0.705918432172679,0.140506501491607
"FOXP2",-0.391297707536058,-0.551426779286682,0.990568603327963,-1.17322027495355,0.0565771576607813
"FOXP3",-0.438934962712958,0.0894579710425761,0.185678991641105,-0.0996485624108228,0.0289198315395829
"GABPA",-0.27657474052938,-0.0820720897112058,0.565370014808095,0.00121500762952956,-0.154002194057033
"GATA1",-0.734347906552449,-0.097261672173703,-0.566744079630614,-0.80794885391583,0.630064491046396
"GATA2",-0.650328655342168,-0.552587823799635,0.835142394203811,-1.08939104372005,0.174742700075772
"GATA3",-0.480845998994841,-0.808706451582776,0.83162758385061,-0.804505266858313,0.142496402208884
"GATA4",-0.0176327010452425,-0.608142554714361,0.733030134201847,-0.125272683129806,-0.127514106180019
"GATA6",-0.258237480422899,-0.328341391699996,0.96443676040633,-0.0917332289574599,-0.248289359916291
"GFI1",0.0695407081635361,-0.014961960025908,0.125020035858194,0.401971470084831,-0.151242386651499
"GFI1B",-0.924945179931308,-0.14904762613374,-0.264947109488892,-0.757703197054887,0.550932329457485
"GLI1",-0.159223254007442,-0.39622275166821,0.555514511129022,1.16153799338191,-0.334209178364678
"GLI2",0.139872655239403,0.216615211882901,-0.185777352957234,0.172736556722875,-0.0484340523942089
"GLI3",0.180404674050504,-0.162473071107388,0.606384354717754,-0.238495492294734,-0.219508754219947
"GLYR1",0.0265083042465905,-1.01874659801648,0.525897294220371,-0.760730960308696,0.192156265961117
