source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,type_gene_A_r,type_gene_B_r,MeanLR_r
Fibroblast,Fibroblast,HNF4A,ETV5,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,FAM3C,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,LAMB1,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,LAMB2,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,LGALS1,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,LGALS3,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,LGALS3BP,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,LTBP3,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,MIF,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,MYL9,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,NID1,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,RARRES1,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,VCAM1,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,VEGFA,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
Fibroblast,Fibroblast,HNF4A,VWF,Transcription_Factor,Ligand,-0.7976582646369934,Transcription Factor,Ligand,-0.797658263315455
