source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,Unnamed: 0,type_gene_A_r,type_gene_B_r,MeanLR_r
Neural,Neural,ITGB1,IRF2,Receptor,Transcription Factor,0.5827659964561462,112,Receptor,Transcription Factor,0.582765966662885
Neural,Neural,PTPRF,IRF2,Receptor,Transcription Factor,0.5827659964561462,113,Receptor,Transcription Factor,0.582765966662885
Neural,Neural,MYLK,TBP,Receptor,Transcription Factor,0.1408903300762176,225,Receptor,Transcription Factor,0.140890326370986
Neural,Neural,ITGB1,IKZF1,Receptor,Transcription Factor,0.5059983730316162,109,Receptor,Transcription Factor,0.505998370103666
Neural,Neural,PTPRF,IKZF1,Receptor,Transcription Factor,0.5059983730316162,110,Receptor,Transcription Factor,0.505998370103666
Neural,Neural,ITGB1,ATF1,Receptor,Transcription Factor,0.5237246751785278,5,Receptor,Transcription Factor,0.523724693304253
Neural,Neural,MYLK,ATF1,Receptor,Transcription Factor,0.5237246751785278,6,Receptor,Transcription Factor,0.523724693304253
Neural,Neural,PTPRF,ATF1,Receptor,Transcription Factor,0.5237246751785278,7,Receptor,Transcription Factor,0.523724693304253
Neural,Neural,ITGB1,EPAS1,Receptor,Transcription Factor,0.3846798539161682,36,Receptor,Transcription Factor,0.384679864222992
Neural,Neural,PTPRF,EPAS1,Receptor,Transcription Factor,0.3846798539161682,37,Receptor,Transcription Factor,0.384679864222992
Neural,Neural,ITGB1,SMAD1,Receptor,Transcription Factor,0.0296673905104398,159,Receptor,Transcription Factor,0.0296673946809736
Neural,Neural,LPP,SMAD1,Receptor,Transcription Factor,0.0296673905104398,160,Receptor,Transcription Factor,0.0296673946809736
Neural,Neural,PTPRF,SMAD1,Receptor,Transcription Factor,0.0296673905104398,162,Receptor,Transcription Factor,0.0296673946809736
Neural,Neural,ITGB1,ZBTB16,Receptor,Transcription Factor,0.018604228273034,271,Receptor,Transcription Factor,0.0186042343134181
Neural,Neural,PTPRF,ZBTB16,Receptor,Transcription Factor,0.018604228273034,273,Receptor,Transcription Factor,0.0186042343134181
Neural,Neural,ITGB1,FOXO1,Receptor,Transcription Factor,0.0194058381021022,48,Receptor,Transcription Factor,0.019405835269256
Neural,Neural,PTPRF,FOXO1,Receptor,Transcription Factor,0.0194058381021022,51,Receptor,Transcription Factor,0.019405835269256
Neural,Neural,ITGB1,ASCL1,Receptor,Transcription Factor,0.1903395503759384,2,Receptor,Transcription Factor,0.190339550349184
Neural,Neural,PTPRF,ASCL1,Receptor,Transcription Factor,0.1903395503759384,3,Receptor,Transcription Factor,0.190339550349184
Neural,Neural,ITGB1,GATA2,Receptor,Transcription Factor,0.1747426986694336,86,Receptor,Transcription Factor,0.174742700075772
Neural,Neural,PTPRF,GATA2,Receptor,Transcription Factor,0.1747426986694336,89,Receptor,Transcription Factor,0.174742700075772
Neural,Neural,ITGB1,TAL1,Receptor,Transcription Factor,0.0778063014149665,219,Receptor,Transcription Factor,0.077806304341641
Neural,Neural,PTPRF,TAL1,Receptor,Transcription Factor,0.0778063014149665,222,Receptor,Transcription Factor,0.077806304341641
Neural,Neural,ITGB1,SOX2,Receptor,Transcription Factor,0.0170912686735391,171,Receptor,Transcription Factor,0.0170912675741666
Neural,Neural,PTPRF,SOX2,Receptor,Transcription Factor,0.0170912686735391,174,Receptor,Transcription Factor,0.0170912675741666
Neural,Neural,ITGB1,HSF1,Receptor,Transcription Factor,0.2193323522806167,106,Receptor,Transcription Factor,0.219332337755777
Neural,Neural,PTPRF,HSF1,Receptor,Transcription Factor,0.2193323522806167,107,Receptor,Transcription Factor,0.219332337755777
Neural,Neural,KLF1,GDF15,Transcription_Factor,Ligand,0.6018638610839844,847,Transcription Factor,Ligand,0.601863829807483
Neural,Neural,KLF1,LTBP3,Transcription_Factor,Ligand,0.6018638610839844,848,Transcription Factor,Ligand,0.601863829807483
Neural,Neural,IRF9,CXCL8,Transcription_Factor,Ligand,0.6435275673866272,843,Transcription Factor,Ligand,0.643527568027932
Neural,Neural,IRF9,GDF15,Transcription_Factor,Ligand,0.6435275673866272,845,Transcription Factor,Ligand,0.643527568027932
Neural,Neural,USF2,CALR,Transcription_Factor,Ligand,0.1322944462299347,1002,Transcription Factor,Ligand,0.132294435068554
Neural,Neural,USF2,GDF15,Transcription_Factor,Ligand,0.1322944462299347,1003,Transcription Factor,Ligand,0.132294435068554
Neural,Neural,USF2,LTBP3,Transcription_Factor,Ligand,0.1322944462299347,1004,Transcription Factor,Ligand,0.132294435068554
Neural,Neural,HIF1A,ADM,Transcription_Factor,Ligand,0.1933659017086029,796,Transcription Factor,Ligand,0.193365891976828
Neural,Neural,HIF1A,MIF,Transcription_Factor,Ligand,0.1933659017086029,801,Transcription Factor,Ligand,0.193365891976828
Neural,Neural,HIF1A,TF,Transcription_Factor,Ligand,0.1933659017086029,799,Transcription Factor,Ligand,0.193365891976828
Neural,Neural,CEBPD,GDF15,Transcription_Factor,Ligand,0.3196430206298828,612,Transcription Factor,Ligand,0.319643047457005
Neural,Neural,CEBPD,TF,Transcription_Factor,Ligand,0.3196430206298828,610,Transcription Factor,Ligand,0.319643047457005
Neural,Neural,CEBPD,VCL,Transcription_Factor,Ligand,0.3196430206298828,613,Transcription Factor,Ligand,0.319643047457005
Neural,Neural,ZNF318,GDF15,Transcription_Factor,Ligand,0.3758322298526764,1033,Transcription Factor,Ligand,0.375832205456568
Neural,Neural,STAT5A,IL16,Transcription_Factor,Ligand,0.3285005390644073,964,Transcription Factor,Ligand,0.328500543571754
Neural,Neural,IRF2,GDF15,Transcription_Factor,Ligand,0.5827659964561462,840,Transcription Factor,Ligand,0.582765966662885
Neural,Neural,IRF2,LTBP3,Transcription_Factor,Ligand,0.5827659964561462,841,Transcription Factor,Ligand,0.582765966662885
Neural,Neural,KLF13,GDF15,Transcription_Factor,Ligand,0.2403767108917236,849,Transcription Factor,Ligand,0.240376708385774
Neural,Neural,KLF13,VCL,Transcription_Factor,Ligand,0.2403767108917236,850,Transcription Factor,Ligand,0.240376708385774
Neural,Neural,NFE2L2,CXCL8,Transcription_Factor,Ligand,0.4988877475261688,872,Transcription Factor,Ligand,0.498887753245666
Neural,Neural,NFE2L2,GDF15,Transcription_Factor,Ligand,0.4988877475261688,874,Transcription Factor,Ligand,0.498887753245666
Neural,Neural,E2F5,GDF15,Transcription_Factor,Ligand,0.4660300314426422,690,Transcription Factor,Ligand,0.466030023851771
Neural,Neural,GFI1B,GDF15,Transcription_Factor,Ligand,0.5509322881698608,784,Transcription Factor,Ligand,0.550932329457485
Neural,Neural,GFI1B,LTBP3,Transcription_Factor,Ligand,0.5509322881698608,785,Transcription Factor,Ligand,0.550932329457485
Neural,Neural,GFI1B,VCL,Transcription_Factor,Ligand,0.5509322881698608,786,Transcription Factor,Ligand,0.550932329457485
Neural,Neural,NFE2,GDF15,Transcription_Factor,Ligand,0.6458896994590759,869,Transcription Factor,Ligand,0.645889668458459
Neural,Neural,NFE2,VCL,Transcription_Factor,Ligand,0.6458896994590759,870,Transcription Factor,Ligand,0.645889668458459
Neural,Neural,SOX6,GDF15,Transcription_Factor,Ligand,0.5168416500091553,943,Transcription Factor,Ligand,0.516841648860658
Neural,Neural,SOX6,NMU,Transcription_Factor,Ligand,0.5168416500091553,944,Transcription Factor,Ligand,0.516841648860658
Neural,Neural,SOX6,VCL,Transcription_Factor,Ligand,0.5168416500091553,945,Transcription Factor,Ligand,0.516841648860658
Neural,Neural,FOXK2,GDF15,Transcription_Factor,Ligand,0.6198009848594666,747,Transcription Factor,Ligand,0.61980099121386
Neural,Neural,FOXK2,NMU,Transcription_Factor,Ligand,0.6198009848594666,748,Transcription Factor,Ligand,0.61980099121386
Neural,Neural,TBP,GDF15,Transcription_Factor,Ligand,0.1408903300762176,979,Transcription Factor,Ligand,0.140890326370986
Neural,Neural,TBP,LTBP3,Transcription_Factor,Ligand,0.1408903300762176,980,Transcription Factor,Ligand,0.140890326370986
Neural,Neural,ZNF83,GDF15,Transcription_Factor,Ligand,0.3313682675361633,1038,Transcription Factor,Ligand,0.331368275610363
Neural,Neural,IKZF1,VCL,Transcription_Factor,Ligand,0.5059983730316162,835,Transcription Factor,Ligand,0.505998370103666
Neural,Neural,ATF1,COPA,Transcription_Factor,Ligand,0.5237246751785278,577,Transcription Factor,Ligand,0.523724693304253
Neural,Neural,ATF1,GDF15,Transcription_Factor,Ligand,0.5237246751785278,578,Transcription Factor,Ligand,0.523724693304253
Neural,Neural,ATF1,HLA-G,Transcription_Factor,Ligand,0.5237246751785278,579,Transcription Factor,Ligand,0.523724693304253
Neural,Neural,HBP1,GDF15,Transcription_Factor,Ligand,0.4573674201965332,790,Transcription Factor,Ligand,0.457367394555279
Neural,Neural,HBP1,LTBP3,Transcription_Factor,Ligand,0.4573674201965332,793,Transcription Factor,Ligand,0.457367394555279
Neural,Neural,HBP1,MIF,Transcription_Factor,Ligand,0.4573674201965332,789,Transcription Factor,Ligand,0.457367394555279
Neural,Neural,EPAS1,PGF,Transcription_Factor,Ligand,0.3846798539161682,723,Transcription Factor,Ligand,0.384679864222992
Neural,Neural,SMAD1,CXCL8,Transcription_Factor,Ligand,0.0296673905104398,925,Transcription Factor,Ligand,0.0296673946809736
Neural,Neural,SMAD1,GDF15,Transcription_Factor,Ligand,0.0296673905104398,926,Transcription Factor,Ligand,0.0296673946809736
Neural,Neural,SMAD1,VCL,Transcription_Factor,Ligand,0.0296673905104398,927,Transcription Factor,Ligand,0.0296673946809736
Neural,Neural,SREBF1,GDF15,Transcription_Factor,Ligand,0.109366238117218,957,Transcription Factor,Ligand,0.10936622626752
Neural,Neural,MYNN,LTBP3,Transcription_Factor,Ligand,0.3374888896942138,866,Transcription Factor,Ligand,0.337488912693046
Neural,Neural,BHLHE40,GDF15,Transcription_Factor,Ligand,0.2902621328830719,583,Transcription Factor,Ligand,0.290262124940275
Neural,Neural,FOXO1,IL16,Transcription_Factor,Ligand,0.0194058381021022,750,Transcription Factor,Ligand,0.019405835269256
Neural,Neural,FOXO1,VCL,Transcription_Factor,Ligand,0.0194058381021022,751,Transcription Factor,Ligand,0.019405835269256
Neural,Neural,GATA2,ADM,Transcription_Factor,Ligand,0.1747426986694336,758,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,CLEC11A,Transcription_Factor,Ligand,0.1747426986694336,762,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,COL6A3,Transcription_Factor,Ligand,0.1747426986694336,763,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,CXCL8,Transcription_Factor,Ligand,0.1747426986694336,766,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,GDF15,Transcription_Factor,Ligand,0.1747426986694336,767,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,ICAM4,Transcription_Factor,Ligand,0.1747426986694336,756,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,IL16,Transcription_Factor,Ligand,0.1747426986694336,768,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,SNCA,Transcription_Factor,Ligand,0.1747426986694336,755,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,VCL,Transcription_Factor,Ligand,0.1747426986694336,769,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,NR2F1,TF,Transcription_Factor,Ligand,0.0427285395562648,879,Transcription Factor,Ligand,0.04272854011897
Neural,Neural,HNF4A,ADM,Transcription_Factor,Ligand,0.2149479836225509,811,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,CALR,Transcription_Factor,Ligand,0.2149479836225509,814,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,EFNB1,Transcription_Factor,Ligand,0.2149479836225509,817,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,GDF15,Transcription_Factor,Ligand,0.2149479836225509,818,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,LGALS3,Transcription_Factor,Ligand,0.2149479836225509,820,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,LTBP3,Transcription_Factor,Ligand,0.2149479836225509,821,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,MIF,Transcription_Factor,Ligand,0.2149479836225509,822,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,PGF,Transcription_Factor,Ligand,0.2149479836225509,824,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,SEMA7A,Transcription_Factor,Ligand,0.2149479836225509,825,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,SNCA,Transcription_Factor,Ligand,0.2149479836225509,826,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,TF,Transcription_Factor,Ligand,0.2149479836225509,809,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,VCL,Transcription_Factor,Ligand,0.2149479836225509,828,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,TAL1,CALR,Transcription_Factor,Ligand,0.0778063014149665,966,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,COL6A3,Transcription_Factor,Ligand,0.0778063014149665,967,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,CXCL8,Transcription_Factor,Ligand,0.0778063014149665,969,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,IL16,Transcription_Factor,Ligand,0.0778063014149665,972,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,SEMA7A,Transcription_Factor,Ligand,0.0778063014149665,973,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,SNCA,Transcription_Factor,Ligand,0.0778063014149665,974,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,TNFSF13B,Transcription_Factor,Ligand,0.0778063014149665,976,Transcription Factor,Ligand,0.077806304341641
