source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,Unnamed: 0,type_gene_A_r,type_gene_B_r,MeanLR_r
Neural,Neural,PTPRF,NR4A1,Receptor,Transcription Factor,0.1683186441659927,152,Receptor,Transcription Factor,0.168318648437428
Neural,Neural,PTPRF,TAL1,Receptor,Transcription Factor,0.7560227513313293,244,Receptor,Transcription Factor,0.756022741146501
Neural,Neural,PTPRF,POU5F1,Receptor,Transcription Factor,0.2897452116012573,172,Receptor,Transcription Factor,0.289745200693986
Neural,Neural,PTPRF,TEAD4,Receptor,Transcription Factor,0.1363104283809662,264,Receptor,Transcription Factor,0.136310429097043
Neural,Neural,PTPRF,TERF1,Receptor,Transcription Factor,0.5516940355300903,271,Receptor,Transcription Factor,0.551694044645352
Neural,Neural,PTPRF,FOXA2,Receptor,Transcription Factor,0.308429479598999,45,Receptor,Transcription Factor,0.308429466108188
Neural,Neural,PTPRF,SOX2,Receptor,Transcription Factor,0.7436784505844116,193,Receptor,Transcription Factor,0.743678452333463
Neural,Neural,PTPRF,PDX1,Receptor,Transcription Factor,0.5182916522026062,165,Receptor,Transcription Factor,0.51829164127041
Neural,Neural,PTPRF,HSF1,Receptor,Transcription Factor,0.766588568687439,117,Receptor,Transcription Factor,0.766588552752038
Neural,Neural,HBP1,BMP4,Transcription_Factor,Ligand,0.1409316062927246,708,Transcription Factor,Ligand,0.140931591356727
Neural,Neural,HBP1,LAMC1,Transcription_Factor,Ligand,0.1409316062927246,709,Transcription Factor,Ligand,0.140931591356727
Neural,Neural,ZNF143,LAMC1,Transcription_Factor,Ligand,0.4926047027111053,771,Transcription Factor,Ligand,0.492604715777703
Neural,Neural,FOXO1,LAMC1,Transcription_Factor,Ligand,0.1938754171133041,695,Transcription Factor,Ligand,0.193875421221669
Neural,Neural,GATA2,BMP4,Transcription_Factor,Ligand,0.5794377326965332,696,Transcription Factor,Ligand,0.579437750163205
Neural,Neural,GATA2,CD99,Transcription_Factor,Ligand,0.5794377326965332,697,Transcription Factor,Ligand,0.579437750163205
Neural,Neural,GATA2,COL6A3,Transcription_Factor,Ligand,0.5794377326965332,698,Transcription Factor,Ligand,0.579437750163205
