Unnamed: 0_py,Neural_py,MSC_py,Fibroblast_py,Megakaryocyte_py,Myeloid_py,Unnamed: 0_r,Neural_r,MSC_r,Fibroblast_r,Megakaryocyte_r,Myeloid_r
GNS,0.0,0.5611861882401092,0.6913716814159291,0.0,0.0,GNS,0.0,0.561186188240109,0.691371681415929,0.0,0.0
RP11-1143G9.4,0.0,0.2458814851241701,0.0,0.0,7.767233571607305,RP11-1143G9.4,0.0,0.24588148512417,0.0,0.0,7.7672335716073
FRS2,0.0,0.0,0.544425087108014,0.0,0.0,FRS2,0.0,0.0,0.544425087108014,0.0,0.0
POC1B,0.0,0.3751500600240097,0.0,0.0,0.0,POC1B,0.0,0.37515006002401,0.0,0.0,0.0
NUP37,0.0,0.0,0.6706008583690987,0.769941484447182,0.0,NUP37,0.0,0.0,0.670600858369099,0.769941484447182,0.0
PARPBP,0.0,0.0,0.6403688524590163,0.0,0.0,PARPBP,0.0,0.0,0.640368852459016,0.0,0.0
GLT8D2,0.0,1.022278566850583,0.0,0.0,0.0,GLT8D2,0.0,1.02227856685058,0.0,0.0,0.0
NFYB,3.769773529077044,0.0,0.3535067873303168,0.0,0.0,NFYB,3.76977352907704,0.0,0.353506787330317,0.0,0.0
KIAA1033,0.0,0.6318316800404373,0.0,0.0,0.0,KIAA1033,0.0,0.631831680040437,0.0,0.0,0.0
CRY1,0.0,0.372072256432199,0.0,0.0,0.0,CRY1,0.0,0.372072256432199,0.0,0.0,0.0
SART3,0.0,0.0,0.0,0.0,0.0,SART3,0.0,0.0,0.0,0.0,0.0
SDSL,0.0,0.0,0.0,0.0,0.0,SDSL,0.0,0.0,0.0,0.0,0.0
RBM19,0.0,0.0,0.0,0.0,0.0,RBM19,0.0,0.0,0.0,0.0,0.0
MTMR6,1.8335166850018327,0.0,0.8358032532373593,0.0,0.0,MTMR6,1.83351668500183,0.0,0.835803253237359,0.0,0.0
LRCH1,0.0,0.0511226534702057,0.0,0.0,0.0,LRCH1,0.0,0.0511226534702057,0.0,0.0,0.0
SETDB2,0.0,0.0,0.0,0.0,0.0,SETDB2,0.0,0.0,0.0,0.0,0.0
OLFM4,0.0,0.0,0.0,0.0,2.3628019376674727,OLFM4,0.0,0.0,0.0,0.0,2.36280193766747
KLF12,0.0,0.0511226534702057,0.0,0.9936406995230525,0.0,KLF12,0.0,0.0511226534702057,0.0,0.993640699523052,0.0
