,means,dispersions,mean_bin,dispersions_norm,highly_variable
UTP23,6.7167672888139265,12.03617935743026,"(6.424, 7.227]",-1.070479378652998,False
RAD21,2.7164258268987767,6.8996626974976705,"(2.409, 3.212]",-0.8095248039410907,False
MED30,3.853097205019749,8.741987527976443,"(3.212, 4.015]",0.5788845563867296,False
EXT1,4.389072570169134,9.220774459243787,"(4.015, 4.818]",-0.8141005877150066,False
ENPP2,8.108362054893249,14.166979855661605,"(8.03, 8.833]",-0.40300793330372786,False
MRPL13,5.461451609233541,10.692366356466497,"(4.818, 5.621]",0.2452437399585792,False
HAS2,16.060502556984915,22.2711025373652,"(15.257, 16.061]",0.23214125394133564,False
DERL1,3.159131604004806,7.5121753752154765,"(2.409, 3.212]",0.4041046418541555,False
C8orf76,6.605027531564516,12.215424837137904,"(6.424, 7.227]",-0.6531584384848282,False
ATAD2,9.20144552710553,15.281423703613918,"(8.833, 9.636]",0.14060314359540618,False
RNF139,8.234637442029612,14.425209817675455,"(8.03, 8.833]",0.32849603992712484,False
TATDN1,5.015813680618309,10.745699707833284,"(4.818, 5.621]",0.36654473934331755,False
NDUFB9,1.1549306023461914,4.0757364567182846,"(0.803, 1.606]",0.10207635195643971,False
MTSS1,4.015985839658911,8.655092219775101,"(4.015, 4.818]",-2.0244604262206827,False
SQLE,16.06050255698494,22.271102537365184,"(15.257, 16.061]",0.23214125394122925,False
NSMCE2,4.028575458019352,9.00893018766607,"(4.015, 4.818]",-1.2673723725530577,False
TRIB1,16.060502556984915,22.271102537365213,"(15.257, 16.061]",0.232141253941442,False
LINC00861,9.999999999995e-13,,"(-0.0161, 0.803]",,False
MYC,3.0071361452786562,7.575156513552805,"(2.409, 3.212]",0.5288951430086497,False
PVT1,12.800630658754796,19.01006063361217,"(12.045, 12.848]",1.4973636188401054,False
FAM49B,3.1611702579954137,8.073429437992498,"(2.409, 3.212]",1.516170533610645,False
ASAP1,5.81103488289017,11.810733501820275,"(5.621, 6.424]",0.6115163179235279,False
EFR3A,4.8369075930045256,9.487624841811261,"(4.818, 5.621]",-2.494811890953264,False
PHF20L1,2.53610648948613,6.847706399790978,"(2.409, 3.212]",-0.9124707429970609,False
SLA,9.999999999995e-13,,"(-0.0161, 0.803]",,False
NDRG1,2.838435040144746,7.0772295509422385,"(2.409, 3.212]",-0.4576947606177734,False
ST3GAL1,8.14231041811874,14.100943092412617,"(8.03, 8.833]",-0.5900743539437503,False
CHRAC1,6.461759968240325,12.521218375579176,"(6.424, 7.227]",0.058792831738587945,False
AGO2,5.851595418298998,11.199599312004109,"(5.621, 6.424]",-0.8574051264180336,False
DENND3,11.174940103673434,17.322675014403302,"(10.439, 11.242]",1.451543639131742,False
LY6K,5.499395463267119,10.324223666324908,"(4.818, 5.621]",-0.5920574062463525,False
LY6E,0.7946966441379237,2.6602088783723135,"(-0.0161, 0.803]",1.390116241368712,True
GLI4,9.897770840691802,15.425033453561985,"(9.636, 10.439]",-1.9027233465491395,False
MINCR,7.966902575256877,13.367951529625499,"(7.227, 8.03]",-0.1444065816278913,False
GSDMD,2.297576673117237,6.727650398684149,"(1.606, 2.409]",1.5404988446687244,True
NAPRT,3.2615739510909543,7.717150658181633,"(3.212, 4.015]",-1.5770447482624164,False
EEF1D,0.6574193104390122,2.1578058146004335,"(-0.0161, 0.803]",0.47804418409833743,False
TSTA3,1.1586995812245398,4.155614814850045,"(0.803, 1.606]",0.22193787661038622,False
PUF60,2.4628246949655823,6.506732263844047,"(2.409, 3.212]",-1.588075129148948,False
PLEC,3.3051903285877833,8.818592413985412,"(3.212, 4.015]",0.7400367587456381,False
PARP10,3.717788010076969,8.393774531263842,"(3.212, 4.015]",-0.15364432308527845,False
GRINA,2.965002835736628,7.450168074196103,"(2.409, 3.212]",0.2812436969153608,False
EXOSC4,3.723979194966951,8.567822205637531,"(3.212, 4.015]",0.21249636978752687,False
GPAA1,3.406080036788162,8.17347786950643,"(3.212, 4.015]",-0.617078107326744,False
