"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IRF3",6.8409080624528e-07,2.38675048749144,0.653,0.377,0.000245588599442056,"Neural","IRF3"
"CEBPA",1.67819558482082e-06,0.108858636965434,0.614,0.39,0.000602472214950675,"Neural","CEBPA"
"FLI1",2.01117060416636e-06,2.56209821054963,0.356,0.195,0.000722010246895723,"Neural","FLI1"
"ZNF750",2.13563635984102e-06,1.84236963241224,0.267,0.162,0.000766693453182926,"Neural","ZNF750"
"POU5F1",2.28694362040728e-06,0.174875087255279,0.317,0.188,0.000821012759726215,"Neural","POU5F1"
"KLF3",4.26986532665972e-06,5.90332890731832,0.505,0.234,0.00153288165227084,"Neural","KLF3"
"KLF4",7.53418322824135e-06,0.648167913839962,0.723,0.481,0.00270477177893865,"Neural","KLF4"
"ONECUT1",9.52579477890031e-06,2.291428187419,0.426,0.247,0.00341976032562521,"Neural","ONECUT1"
"ATF6",1.15452262379415e-05,2.85539906910001,0.178,0.383,0.00414473621942099,"Neural","ATF6"
"NFYB",1.23048839506449e-05,2.74776278236388,0.851,0.721,0.00441745333828152,"Neural","NFYB"
"RARA",1.67430784256435e-05,1.27597376577846,0.743,0.506,0.00601076515480602,"Neural","RARA"
"TFDP1",3.5072090432074e-05,1.44171918516855,0.921,0.792,0.0125908804651146,"Neural","TFDP1"
"CTCFL",3.53383278405696e-05,3.5937700608851,0.525,0.338,0.0126864596947645,"Neural","CTCFL"
"E2F6",7.15418906582337e-05,2.7142221457419,0.545,0.305,0.0256835387463059,"Neural","E2F6"
"MAFF",9.76123201241669e-05,1.63592806541171,0.376,0.253,0.0350428229245759,"Neural","MAFF"
"ARID3A",0.000147190131351838,0.337229789715219,0.584,0.383,0.0528412571553099,"Neural","ARID3A"
"SNAPC4",0.000148223615066964,4.36916628136204,0.515,0.305,0.0532122778090399,"Neural","SNAPC4"
"CXXC4",0.000241820001562466,0.714626854577336,0.95,0.877,0.0868133805609252,"Neural","CXXC4"
"ETS2",0.000284403422389618,0.153183172476784,0.406,0.325,0.102100828637873,"Neural","ETS2"
"STAT6",0.00040989817739402,3.72795779778535,0.356,0.864,0.147153445684453,"Neural","STAT6"
"TCF7",0.000678261009280913,1.45997712645984,0.614,0.409,0.243495702331848,"Neural","TCF7"
"NR2F6",0.00068257797019315,2.66066421954807,0.208,0.234,0.245045491299341,"Neural","NR2F6"
"TCF7L2",0.000718044369759238,0.682516615779329,0.337,0.305,0.257777928743566,"Neural","TCF7L2"
"MYNN",0.000736412670578293,1.87114737387188,0.752,0.558,0.264372148737607,"Neural","MYNN"
"SOX9",0.000769611122131033,0.223102735663707,0.851,0.747,0.276290392845041,"Neural","SOX9"
"ZNF384",0.000883212179978292,1.05475988327678,0.782,0.591,0.317073172612207,"Neural","ZNF384"
"ZNF639",0.00138106659849394,1.87050575721658,0.762,0.636,0.495802908859325,"Neural","ZNF639"
"ZBTB11",0.001722370016135,3.35262347849568,0.594,0.318,0.618330835792464,"Neural","ZBTB11"
"NFE2L2",0.001722370016135,0.633676642393114,0.802,0.61,0.618330835792464,"Neural","NFE2L2"
"SOX6",0.00176357956157414,1.94072263562555,0.495,0.344,0.633125062605117,"Neural","SOX6"
"MEF2B",0.00219004802199539,1.10254192119821,0.416,0.247,0.786227239896344,"Neural","MEF2B"
"CEBPZ",0.00319221873208519,2.48232189847305,0.574,0.545,1,"Neural","CEBPZ"
"NANOG",0.00444902395193311,0.794075410741521,0.347,0.273,1,"Neural","NANOG"
"KLF9",0.00464684590536581,0.953837464513925,0.525,0.409,1,"Neural","KLF9"
"NR1H3",0.00514896964107606,1.00400055733458,0.198,0.416,1,"Neural","NR1H3"
"RARB",0.00591552989952509,2.05736313254004,0.416,0.513,1,"Neural","RARB"
"IRF2",0.00617128039694425,1.39011270246178,0.743,0.63,1,"Neural","IRF2"
"GFI1B",0.00851572789631373,1.64809528139999,0.663,0.552,1,"Neural","GFI1B"
"LHX2",0.00896076973907657,1.90053705137696,0.238,0.474,1,"Neural","LHX2"
"STAT1",1.43691857418838e-20,6.07282859842175,0.939,0.359,5.15853768133629e-18,"MSC","STAT1"
"NFKB1",9.8408792886232e-20,6.21518960572826,0.939,0.466,3.53287566461573e-17,"MSC","NFKB1"
"STAT2",2.25335970164283e-19,4.87302008681838,0.918,0.325,8.08956132889776e-17,"MSC","STAT2"
"STAT3",4.64387559282942e-19,7.68783981468963,0.959,0.485,1.66715133782576e-16,"MSC","STAT3"
"HIVEP2",1.06765127671954e-18,2.02815137947717,0.98,0.209,3.83286808342313e-16,"MSC","HIVEP2"
"NR1H31",8.64082432857074e-18,1.65740979753079,0.898,0.194,3.1020559339569e-15,"MSC","NR1H3"
"FOXP2",2.11483101590927e-17,4.33505534900088,0.918,0.393,7.59224334711426e-15,"MSC","FOXP2"
"JUN",4.10965852147338e-17,3.50687909944578,0.959,0.553,1.47536740920894e-14,"MSC","JUN"
"RELA",7.93882411341987e-17,4.62385388115812,0.939,0.432,2.85003785671773e-14,"MSC","RELA"
"NR2F2",9.87415287031233e-17,3.96033259895495,0.857,0.233,3.54482088044213e-14,"MSC","NR2F2"
"USF1",1.55225193523725e-16,3.04751868524989,1,0.66,5.57258444750173e-14,"MSC","USF1"
"USF2",1.92673709840145e-16,3.01055669125096,0.98,0.733,6.9169861832612e-14,"MSC","USF2"
"ZHX1",2.91018484905893e-16,3.51000178902371,0.98,0.646,1.04475636081215e-13,"MSC","ZHX1"
"IRF1",2.96267204903736e-16,3.8242459268064,0.939,0.485,1.06359926560441e-13,"MSC","IRF1"
"NR1H2",5.92774422688773e-16,2.56355580006971,1,0.956,2.1280601774527e-13,"MSC","NR1H2"
"HIF1A",1.35476032890855e-15,1.92873219838874,1,0.684,4.8635895807817e-13,"MSC","HIF1A"
"SP1",2.32395931052699e-15,3.003829096733,0.98,0.782,8.34301392479188e-13,"MSC","SP1"
"ETV4",5.6894477169001e-15,2.55777839777932,0.98,0.777,2.04251173036713e-12,"MSC","ETV4"
"SMAD3",6.6347449626863e-15,5.52675875660809,0.959,0.549,2.38187344160438e-12,"MSC","SMAD3"
"TCF4",9.48327039554482e-15,2.41301177858613,0.959,0.519,3.40449407200059e-12,"MSC","TCF4"
"HIC1",1.57419535252183e-14,0.919288068601527,0.918,0.985,5.65136131555338e-12,"MSC","HIC1"
"FOXF2",2.31521883377266e-14,3.70132618221223,0.878,0.888,8.31163561324386e-12,"MSC","FOXF2"
"PPARG",2.02562501213598e-12,4.32629764618511,0.878,0.388,7.27199379356817e-10,"MSC","PPARG"
"SMAD4",2.08917619440943e-12,5.96298770190317,0.857,0.325,7.50014253792986e-10,"MSC","SMAD4"
"AHR",2.25673445006955e-12,1.43550961083683,0.816,0.262,8.1016766757497e-10,"MSC","AHR"
"MBD4",2.88645676808167e-12,1.39070348343704,0.857,0.267,1.03623797974132e-09,"MSC","MBD4"
"CEBPB",3.0690715356523e-12,5.17907633720284,0.816,0.325,1.10179668129918e-09,"MSC","CEBPB"
"SP4",3.46893285794889e-12,2.89482910002522,1,0.966,1.24534689600365e-09,"MSC","SP4"
"HSF21",5.00037337295475e-12,1.21303151411329,1,0.995,1.79513404089075e-09,"MSC","HSF2"
"ATF2",7.63547390687076e-12,4.4509952103096,1,0.985,2.7411351325666e-09,"MSC","ATF2"
"E2F7",1.43112694068748e-11,2.57568702816433,1,0.976,5.13774571706805e-09,"MSC","E2F7"
"FOSL2",1.89653417292925e-11,2.88240782045899,0.755,0.214,6.80855768081602e-09,"MSC","FOSL2"
"AR",2.86329168446821e-11,4.18227832528037,0.878,0.524,1.02792171472409e-08,"MSC","AR"
"TP53",3.83447656038682e-11,2.28604024251208,0.918,0.631,1.37657708517887e-08,"MSC","TP53"
"ETV1",4.0055668586788e-11,3.97103071224368,0.796,0.35,1.43799850226569e-08,"MSC","ETV1"
"CUX1",4.24535018267873e-11,2.79311560893683,0.918,0.597,1.52408071558166e-08,"MSC","CUX1"
"MYBL2",8.85267469036983e-11,2.93428399533298,0.796,0.311,3.17811021384277e-08,"MSC","MYBL2"
"NR3C1",1.00661593188288e-10,4.80099215251153,0.796,0.296,3.61375119545955e-08,"MSC","NR3C1"
"ESR2",1.08090804222596e-10,2.3882745392213,1,0.757,3.8804598715912e-08,"MSC","ESR2"
"PROX1",2.28328127238254e-10,2.65656571717075,0.878,0.447,8.19697976785331e-08,"MSC","PROX1"
"ZNF318",2.73762292970696e-10,2.07839851956381,1,0.927,9.828066317648e-08,"MSC","ZNF318"
"KLF6",4.8278994705958e-10,8.15725101273576,0.816,0.306,1.73321590994389e-07,"MSC","KLF6"
"SOX4",5.61432429114559e-10,0.567519823449411,0.143,0.019,2.01554242052127e-07,"MSC","SOX4"
"JUND",9.67412883176187e-10,2.47040867413288,0.796,0.422,3.47301225060251e-07,"MSC","JUND"
"TFAP2A",1.74548938645831e-09,2.63975308617667,0.796,0.456,6.26630689738534e-07,"MSC","TFAP2A"
"HBP1",1.74548938645831e-09,2.01761164957477,0.98,0.738,6.26630689738534e-07,"MSC","HBP1"
"RFX5",2.43134779682563e-09,2.0887494524994,0.898,0.587,8.72853859060402e-07,"MSC","RFX5"
"PAX2",5.5347287599665e-09,1.71073587064406,0.184,0.024,1.98696762482797e-06,"MSC","PAX2"
"NFIC",6.29629103828823e-09,2.5297654285229,0.898,0.592,2.26036848274548e-06,"MSC","NFIC"
"NANOG1",7.25178740170031e-09,2.98447421325485,0.612,0.228,2.60339167721041e-06,"MSC","NANOG"
"CEBPA1",1.43952764095561e-08,2.71166687459909,0.837,0.393,5.16790423103063e-06,"MSC","CEBPA"
"TEAD2",1.55221757636367e-08,1.92615878227077,0.959,0.694,5.57246109914557e-06,"MSC","TEAD2"
"MEF2A",1.71587682650474e-08,2.0982394442712,0.837,0.471,6.15999780715201e-06,"MSC","MEF2A"
"FOXO3",2.40150961243406e-08,2.63768424297773,0.694,0.311,8.62141950863829e-06,"MSC","FOXO3"
"ELK1",3.30920292273102e-08,4.25902776113562,1,0.942,1.18800384926044e-05,"MSC","ELK1"
"RUNX2",5.00962385206336e-08,2.13327855025814,0.653,0.233,1.79845496289075e-05,"MSC","RUNX2"
"HOXA10",5.19500409110209e-08,0.841186170819969,0.816,0.976,1.86500646870565e-05,"MSC","HOXA10"
"ZNF217",8.30101931467369e-08,3.29769702080095,0.755,0.354,2.98006593396786e-05,"MSC","ZNF217"
"MEF2C",1.1436753269542e-07,3.40794458458954,0.816,0.495,4.10579442376557e-05,"MSC","MEF2C"
"CEBPD",1.15725706942558e-07,2.23534878325743,0.939,0.859,4.15455287923782e-05,"MSC","CEBPD"
"ZBED1",1.74439732761519e-07,2.51677334850819,1,1,6.26238640613852e-05,"MSC","ZBED1"
"ZNF175",2.25133647802739e-07,2.12194461832681,0.714,0.364,8.08229795611832e-05,"MSC","ZNF175"
"ATF4",2.41264276707734e-07,3.76452406958768,0.857,0.534,8.66138753380765e-05,"MSC","ATF4"
"RXRA",3.00051311056994e-07,1.86222383644772,0.898,0.602,0.000107718420669461,"MSC","RXRA"
"ELK4",4.51542019663854e-07,0.725589949691585,0.959,0.786,0.000162103585059324,"MSC","ELK4"
"MYCN",6.04395491537365e-07,2.97904972357346,0.755,0.447,0.000216977981461914,"MSC","MYCN"
"FOXD3",1.49080278352839e-06,2.10493632163403,0.265,0.044,0.000535198199286692,"MSC","FOXD3"
"TBP",2.99921751004196e-06,1.2236328939868,0.959,0.806,0.00107671908610507,"MSC","TBP"
"ONECUT11",3.06279046775461e-06,2.61127677387128,0.551,0.262,0.00109954177792391,"MSC","ONECUT1"
"ZBTB2",3.47224240304334e-06,0.861180911490691,0.735,0.903,0.00124653502269256,"MSC","ZBTB2"
"FOXP1",3.58252738059917e-06,1.64656867545454,0.939,0.811,0.0012861273296351,"MSC","FOXP1"
"KDM5B",4.5940556488232e-06,2.85300483819351,0.735,0.417,0.00164926597792753,"MSC","KDM5B"
"SRF",4.7872782379837e-06,1.34916819160908,0.959,0.859,0.00171863288743615,"MSC","SRF"
"ATF3",6.05853541136942e-06,2.37559121191927,0.571,0.306,0.00217501421268162,"MSC","ATF3"
"MAZ",6.18319559671964e-06,2.62973571899435,0.796,0.573,0.00221976721922235,"MSC","MAZ"
"TWIST1",9.73157986356041e-06,1.44304478896875,0.694,0.354,0.00349363717101819,"MSC","TWIST1"
"FOXM1",1.75675859056462e-05,1.16865065466684,0.857,0.699,0.006306763340127,"MSC","FOXM1"
"ARID2",2.03121878177615e-05,1.43090238079723,0.898,0.636,0.00729207542657636,"MSC","ARID2"
"ETS21",2.19382908885218e-05,2.39731021005607,0.653,0.286,0.00787584642897932,"MSC","ETS2"
"SP3",2.78564307458164e-05,0.612705890141036,0.776,0.432,0.0100004586377481,"MSC","SP3"
"SMAD1",5.06948516994977e-05,1.3535986445535,0.959,0.84,0.0181994517601197,"MSC","SMAD1"
"ETV6",5.11639845304484e-05,1.07737577224767,0.898,0.573,0.018367870446431,"MSC","ETV6"
"NR1I2",5.7649532215864e-05,1.78888969973557,0.755,0.568,0.0206961820654952,"MSC","NR1I2"
"CDX2",5.87139092789733e-05,3.4622588808662,0.612,0.33,0.0210782934311514,"MSC","CDX2"
"KLF1",5.87139092789733e-05,1.44696933738761,0.857,0.723,0.0210782934311514,"MSC","KLF1"
"GLI3",9.05981844252902e-05,0.9995242647136,0.286,0.083,0.0325247482086792,"MSC","GLI3"
"CREB3",9.47297734221975e-05,2.32339246490312,0.673,0.369,0.0340079886585689,"MSC","CREB3"
"CREB5",9.90391260754283e-05,1.64599744620689,0.286,0.112,0.0355550462610787,"MSC","CREB5"
"PRDM1",0.000100814441168747,2.86003115206283,0.694,0.417,0.0361923843795802,"MSC","PRDM1"
"YY1",0.000245736728050602,0.352483119552354,0.796,0.621,0.088219485370166,"MSC","YY1"
"KLF91",0.000276375008649722,1.51284192751048,0.653,0.408,0.09921862810525,"MSC","KLF9"
"CREB3L1",0.000288158575463154,1.15075945361992,0.857,0.709,0.103448928591272,"MSC","CREB3L1"
"FOXJ2",0.000295454144705853,1.92337269513991,0.653,0.417,0.106068037949401,"MSC","FOXJ2"
"PBX3",0.000295454144705853,1.18520039669603,0.837,0.646,0.106068037949401,"MSC","PBX3"
"STAT5A",0.000305449883549715,0.55259046064468,0.918,0.835,0.109656508194348,"MSC","STAT5A"
"SIX5",0.000307997836105765,0.510382686515157,0.98,0.961,0.11057122316197,"MSC","SIX5"
"MYB",0.000318389987746626,0.435952679910373,0.755,0.485,0.114302005601039,"MSC","MYB"
"RARG",0.000348685915194448,1.59902242434008,0.776,0.427,0.125178243554807,"MSC","RARG"
"POU5F11",0.000567149218822969,9.69674147277382,0.408,0.199,0.203606569557446,"MSC","POU5F1"
"REST",0.000604433602908911,0.678946349924674,0.735,0.549,0.216991663444299,"MSC","REST"
"KLF31",0.000654247110742855,0.282663900809241,0.51,0.301,0.234874712756685,"MSC","KLF3"
"TCF12",0.000696818638188893,1.32898750339405,0.673,0.379,0.250157891109813,"MSC","TCF12"
"REL",0.00078365747356237,0.809911855626877,0.633,0.311,0.281333033008891,"MSC","REL"
"ELF1",0.000795966749931242,2.24488060005853,0.694,0.558,0.285752063225316,"MSC","ELF1"
"PPARA",0.000833979537551496,2.43637251186681,0.551,0.165,0.299398653980987,"MSC","PPARA"
"CXXC41",0.000847020127617822,0.835707546960456,0.98,0.888,0.304080225814798,"MSC","CXXC4"
"KMT2A1",0.000853611107096689,2.94540741694745,0.469,0.306,0.306446387447712,"MSC","KMT2A"
"ZBTB33",0.00173482286240296,1.47287229230007,1,0.956,0.622801407602664,"MSC","ZBTB33"
"MBD1",0.0017864530485554,2.30727706483892,0.612,0.388,0.641336644431388,"MSC","MBD1"
"PPARD",0.00185297623086789,2.0954876784201,0.673,0.306,0.665218466881571,"MSC","PPARD"
"VDR",0.00186655096268256,0.462602627975617,1,0.917,0.670091795603041,"MSC","VDR"
"RFX1",0.00231881307552179,2.78971150556255,0.653,0.335,0.832453894112323,"MSC","RFX1"
"SMAD5",0.00243785870241303,1.02763417278184,1,0.99,0.875191274166278,"MSC","SMAD5"
"FOXL21",0.00256247345211294,1.06866064735968,0.694,0.165,0.919927969308547,"MSC","FOXL2"
"ARID3A1",0.00286947207545863,2.05656357965137,0.653,0.417,1,"MSC","ARID3A"
"ATF7",0.00318740803452736,2.558683491891,0.469,0.316,1,"MSC","ATF7"
"EGR11",0.00325472468108363,1.52804024651085,0.551,0.413,1,"MSC","EGR1"
"BACH1",0.00386810392230406,1.06534437473479,0.796,0.762,1,"MSC","BACH1"
"ZNF3841",0.00405774168392517,0.634394028138703,0.837,0.626,1,"MSC","ZNF384"
"CREB1",0.0042269626559323,0.793301699459845,0.816,0.665,1,"MSC","CREB1"
"ZEB1",0.00552850066729816,1.37229603942182,0.714,0.578,1,"MSC","ZEB1"
"RELB",0.00594490154172186,5.42992603712525,0.551,0.33,1,"MSC","RELB"
"BCL11A",0.00602357841322341,0.828158581237388,0.918,0.777,1,"MSC","BCL11A"
"HINFP",0.00651565421572696,2.48070462511641,0.551,0.364,1,"MSC","HINFP"
"JUNB",0.00741657879483984,1.20064028187941,0.714,0.597,1,"MSC","JUNB"
"TEAD4",0.00751255060725248,7.20783451210519,0.469,0.243,1,"MSC","TEAD4"
"DUX41",0.00790767012644815,0.753831778948592,0.51,0.306,1,"MSC","DUX4"
"ZNF207",0.00837434374204872,1.23038574298651,0.878,0.767,1,"MSC","ZNF207"
"WT1",0.00842768807719424,1.47819241835211,0.776,0.665,1,"MSC","WT1"
"GLI1",0.00858953721110796,0.7938077037191,0.653,0.35,1,"MSC","GLI1"
"GLI2",3.6533125591439e-09,3.68875731083884,0.828,0.686,1.31153920873266e-06,"Fibroblast","GLI2"
"ZBTB16",4.01666270256514e-09,0.772608367039057,0.938,0.466,1.44198191022089e-06,"Fibroblast","ZBTB16"
"PAX6",1.24419458883466e-08,3.87144841559872,1,0.974,4.46665857391643e-06,"Fibroblast","PAX6"
"SIX51",1.4112619687804e-08,1.38356629089678,1,0.953,5.06643046792165e-06,"Fibroblast","SIX5"
"PBX31",4.39404724871549e-08,1.28215632817294,0.906,0.607,1.57746296228886e-05,"Fibroblast","PBX3"
"YBX1",1.75494910215806e-07,2.59602491805149,0.906,0.895,6.30026727674745e-05,"Fibroblast","YBX1"
"MSX2",1.07725165216778e-06,5.24318361365189,0.094,0.136,0.000386733343128233,"Fibroblast","MSX2"
"REL1",5.83376826241328e-06,0.752703679208472,0.297,0.398,0.00209432280620637,"Fibroblast","REL"
"SP31",1.00177232473163e-05,2.16421112288235,0.828,0.387,0.00359636264578654,"Fibroblast","SP3"
"ZNF165",1.85493798719348e-05,1.07023875741541,0.781,0.576,0.00665922737402461,"Fibroblast","ZNF165"
"VDR1",2.24926536679172e-05,0.298749012474878,1,0.911,0.00807486266678228,"Fibroblast","VDR"
"PRDM11",2.36993866103075e-05,1.09807043154226,0.625,0.419,0.00850807979310041,"Fibroblast","PRDM1"
"ZNF589",4.35468943783647e-05,1.67413328045818,0.703,0.497,0.0156333350818329,"Fibroblast","ZNF589"
"SOX41",4.50405944432702e-05,3.21483325075538,0.031,0.047,0.016169573405134,"Fibroblast","SOX4"
"E2F71",5.19481134610249e-05,0.567257126439393,1,0.974,0.0186493727325079,"Fibroblast","E2F7"
"ZC3H8",6.50192680371951e-05,0.847823193151862,0.766,0.44,0.023341917225353,"Fibroblast","ZC3H8"
"HOXA101",0.000134771594549525,0.384715377398079,0.938,0.948,0.0483830024432796,"Fibroblast","HOXA10"
"ZBTB21",0.000168061034375393,7.75335766172634,0.875,0.869,0.060333911340766,"Fibroblast","ZBTB2"
"DNMT1",0.000212230987835317,0.76137470106631,0.953,0.759,0.0761909246328787,"Fibroblast","DNMT1"
"NR2C2",0.000213876162693888,1.31113055962097,0.812,0.597,0.0767815424071059,"Fibroblast","NR2C2"
"ZBTB331",0.000255187565652683,0.284609195197287,1,0.953,0.0916123360693132,"Fibroblast","ZBTB33"
"KLF5",0.000269176131306689,0.599644415826818,0.938,0.78,0.0966342311391015,"Fibroblast","KLF5"
"KLF10",0.000644365835479278,3.8659762058424,0.094,0.021,0.231327334937061,"Fibroblast","KLF10"
"EPAS1",0.000803713439254488,1.97182568165949,0.734,0.487,0.288533124692361,"Fibroblast","EPAS1"
"KLF13",0.00101299999811899,0.752136177620944,0.828,0.717,0.363666999324717,"Fibroblast","KLF13"
"HIF1A1",0.0010271790692969,1.05606156239889,0.891,0.696,0.368757285877587,"Fibroblast","HIF1A"
"RXRA1",0.0013801489645377,0.385535970092272,0.828,0.602,0.495473478269033,"Fibroblast","RXRA"
"MYB1",0.00315688617333076,1.46091628058763,0.703,0.482,1,"Fibroblast","MYB"
"CREB51",0.00334182441180745,0.839518020453755,0.188,0.131,1,"Fibroblast","CREB5"
"JUND1",0.00358124876295173,0.897699938487219,0.656,0.44,1,"Fibroblast","JUND"
"TWIST2",0.00360376992905124,3.68592299339924,0.594,0.319,1,"Fibroblast","TWIST2"
"ELF5",0.00383617034613489,0.726716025499338,0.828,0.654,1,"Fibroblast","ELF5"
"ZNF2171",0.00484872644945089,1.82177416696624,0.562,0.387,1,"Fibroblast","ZNF217"
"GFI1",0.00650921890219037,3.22193552068779,0.125,0.079,1,"Fibroblast","GFI1"
"POU2F2",0.00682434620651473,1.97014892386174,0.234,0.387,1,"Fibroblast","POU2F2"
"RUNX21",0.00954977335224427,2.04604419903972,0.453,0.267,1,"Fibroblast","RUNX2"
"SMAD11",0.0099370720062328,0.828338124126072,0.938,0.838,1,"Fibroblast","SMAD1"
"MYC",3.83527969704759e-16,3.8165887727709,1,0.995,1.37686541124009e-13,"Megakaryocyte","MYC"
"SMAD51",1.63967187760586e-11,2.55452175569006,1,0.991,5.88642204060502e-09,"Megakaryocyte","SMAD5"
"NFAT5",7.63207853665523e-11,10.0027457132843,0.794,0.036,2.73991619465923e-08,"Megakaryocyte","NFAT5"
"ZBED11",1.23273050442351e-10,1.52642757946013,1,1,4.4255025108804e-08,"Megakaryocyte","ZBED1"
"ETS1",4.29460152147076e-10,2.38014341224524,1,0.878,1.541761946208e-07,"Megakaryocyte","ETS1"
"STAT4",9.98970012122365e-09,8.41946843821258,0.735,0.208,3.58630234351929e-06,"Megakaryocyte","STAT4"
"HIVEP21",1.61569204385382e-07,2.68268529595635,0.882,0.276,5.80033443743523e-05,"Megakaryocyte","HIVEP2"
"TEAD21",2.69019417783781e-07,1.20343267005555,1,0.706,9.65779709843775e-05,"Megakaryocyte","TEAD2"
"ZBTB332",2.01596752822738e-06,0.393882411750162,1,0.959,0.000723732342633628,"Megakaryocyte","ZBTB33"
"PITX1",2.17086028031796e-06,4.6324027179298,0.912,0.724,0.000779338840634147,"Megakaryocyte","PITX1"
"STAT5A1",4.94778870254088e-06,1.42371761831833,1,0.828,0.00177625614421218,"Megakaryocyte","STAT5A"
"PAX5",7.92934950446795e-06,1.72325534461279,0.882,0.516,0.00284663647210399,"Megakaryocyte","PAX5"
"ZNF2071",8.21167176314552e-06,0.978635678054197,0.971,0.76,0.00294799016296924,"Megakaryocyte","ZNF207"
"ZNF382",8.50358737860348e-06,3.50051374075036,0.912,0.733,0.00305278786891865,"Megakaryocyte","ZNF382"
"ELF51",5.46056070725067e-05,1.05063387321162,0.853,0.674,0.0196034129390299,"Megakaryocyte","ELF5"
"RFX51",6.07164155685443e-05,1.49848365229995,0.882,0.611,0.0217971931891074,"Megakaryocyte","RFX5"
"SRF1",6.40093895675923e-05,0.659463819930171,0.882,0.878,0.0229793708547656,"Megakaryocyte","SRF"
"ZFX",7.57199047515652e-05,0.967614561895868,1,0.95,0.0271834458058119,"Megakaryocyte","ZFX"
"SIX52",7.97767862948184e-05,0.593672855577995,1,0.959,0.0286398662798398,"Megakaryocyte","SIX5"
"HOXA102",0.000185664799525576,1.22602673911397,0.971,0.941,0.0666536630296817,"Megakaryocyte","HOXA10"
"DNMT11",0.000430789601879781,0.832955091032868,0.912,0.792,0.154653467074841,"Megakaryocyte","DNMT1"
"SPI1",0.000434864644712773,0.441814486564428,0.824,0.566,0.156116407451886,"Megakaryocyte","SPI1"
"GFI11",0.000464413411631267,0.396091765060761,0.059,0.095,0.166724414775625,"Megakaryocyte","GFI1"
"BCL11A1",0.000539129808363629,0.441630040571846,0.971,0.778,0.193547601202543,"Megakaryocyte","BCL11A"
"HIC11",0.00123471903127662,0.0256728039480412,1,0.968,0.443264132228307,"Megakaryocyte","HIC1"
"ZBTB161",0.00137063737670582,0.87460341249274,0.882,0.538,0.49205881823739,"Megakaryocyte","ZBTB16"
