,gene,tag,cluster,z_score
195,HIF1A,***,Neural,-0.58106714
196,CEBPD,***,Neural,-0.28430882
197,ZNF318,***,Neural,-0.32372612
198,STAT4,***,Neural,-0.03795137
199,STAT5A,***,Neural,-0.3413623
200,IRF2,***,Neural,0.23247555
201,VDR,***,Neural,-0.69189084
202,SMAD5,***,Neural,-0.92087394
203,KLF13,***,Neural,-0.15191706
204,FOXK1,***,Neural,0.43886718
205,USF1,***,Neural,-0.584816
206,PPARD,***,Neural,-0.24596284
207,NFE2L2,***,Neural,0.22833945
208,E2F5,***,Neural,0.0038167264
209,GFI1B,***,Neural,0.23422827
210,SIX5,***,Neural,-0.8211241
211,ZBTB33,***,Neural,-0.6913415
212,NFE2,***,Neural,0.5625553
213,ZNF644,***,Neural,0.09387258
214,HSF2,***,Neural,-0.036670838
215,SOX6,***,Neural,0.2534969
216,FOXK2,***,Neural,0.41837057
217,TBP,***,Neural,-0.34850013
218,ZNF83,***,Neural,-0.04247026
219,TEAD2,***,Neural,-0.65964556
220,YBX1,***,Neural,-0.15244642
221,MXI1,***,Neural,0.08415687
222,CREB3L1,***,Neural,-0.084061235
223,ELK1,***,Neural,-0.48403254
224,IKZF1,***,Neural,0.32805374
225,ATF1,***,Neural,0.54096156
226,HBP1,***,Neural,0.1409316
227,EPAS1,***,Neural,-0.10860871
228,SP1,***,Neural,-0.39055806
229,STAT3,***,Neural,-0.37036088
230,ZBTB2,***,Neural,0.05174176
231,SMAD1,***,Neural,-0.37764624
232,SREBF1,***,Neural,-0.016468402
233,MYC,***,Neural,-0.6296872
234,ZNF197,***,Neural,0.5063165
235,RFX5,***,Neural,-0.21450445
236,MYNN,***,Neural,0.28270605
237,BHLHE40,***,Neural,0.12109072
238,BACH1,***,Neural,0.17674801
239,DEAF1,***,Neural,0.11629415
240,TFDP1,***,Neural,0.32558328
241,STAT1,***,Neural,0.019727431
242,ZHX1,**,Neural,-0.46338442
243,WT1,**,Neural,-0.1677336
244,KMT2B,**,Neural,0.12805742
245,NRF1,**,Neural,0.18871787
246,BACH2,**,Neural,0.06300262
247,ARID2,**,Neural,0.027961146
248,ATF4,*,Neural,0.13494182
249,ETV6,*,Neural,-0.46513706
250,NR1I2,*,Neural,-0.23515941
251,KLF5,*,Neural,-0.27144095
252,ZBTB16,*,Neural,-0.5341395
253,ZFX,*,Neural,-0.33940813
254,MAF,*,Neural,-0.07684899
255,TWIST2,*,Neural,-0.30757815
256,ZZZ3,**,Neural,-0.37293655
257,TCF3,**,Neural,0.16077133
258,ELF3,**,Neural,-0.34999272
259,NCOA1,**,Neural,0.3328453
260,POU2F1,**,Neural,0.12976004
261,MEIS2,***,Neural,0.5593979
262,NR2F6,***,Neural,0.23376247
263,BCL6,***,Neural,-0.029167846
264,GLYR1,***,Neural,0.34504393
265,GATA6,***,Neural,-0.21734625
266,RBPJ,***,Neural,0.06188414
267,RELB,***,Neural,0.040255994
268,NR5A2,***,Neural,0.48186538
269,ARNT,***,Neural,-0.08422633
270,E2F2,***,Neural,0.26447392
271,NANOG,***,Neural,0.17090543
272,ZNF143,***,Neural,0.4926047
273,FOXA1,***,Neural,0.76910096
274,MAFF,***,Neural,0.2699338
275,TP73,***,Neural,0.23333798
276,SATB1,***,Neural,0.2725363
277,FOXO1,***,Neural,0.19387542
278,ASCL1,***,Neural,0.54287714
279,TFAP2C,***,Neural,0.6240246
280,ZNF92,***,Neural,0.03238352
281,GATA2,***,Neural,0.57943773
282,RUNX2,***,Neural,-0.1334779
283,MAFG,***,Neural,0.43327245
284,SETDB1,***,Neural,0.6892214
285,TBX21,***,Neural,-0.011988279
286,SPIB,***,Neural,0.2513657
287,EHF,***,Neural,-0.12080397
288,HNF4G,***,Neural,0.15187943
289,HES1,***,Neural,0.38834974
290,XBP1,***,Neural,0.22217609
291,BATF,***,Neural,0.017517647
292,ERG,***,Neural,-0.054117285
293,NR2F1,***,Neural,0.56911117
294,SNAI2,***,Neural,-0.028538913
295,MBD3,***,Neural,-0.003625344
296,TFAP4,***,Neural,0.32431307
297,FOSL2,***,Neural,-0.20209527
298,GATA4,***,Neural,0.104307055
299,NR3C1,***,Neural,-0.17866638
300,IRF4,***,Neural,0.0857227
301,CLOCK,***,Neural,0.35264286
302,TP63,***,Neural,0.16787338
303,PAX8,***,Neural,0.3317246
304,HNF4A,***,Neural,0.5730217
305,NCOA2,***,Neural,0.30042183
306,HNF1B,***,Neural,-0.13919194
307,TERF2,***,Neural,0.56284255
308,HOXB13,***,Neural,0.30561364
309,NR4A1,***,Neural,0.16831864
310,ESR1,***,Neural,0.2168464
311,TAL1,***,Neural,0.75602275
312,MEIS1,***,Neural,0.53154033
313,POU2F2,***,Neural,0.11743322
314,E2F3,***,Neural,0.2535357
315,RUNX1,***,Neural,0.51035535
316,EBF1,***,Neural,0.24541573
317,RUNX3,***,Neural,0.26245794
318,CDX2,***,Neural,0.025888382
319,PGR,***,Neural,-0.012393385
320,POU5F1,***,Neural,0.2897452
321,OTX2,***,Neural,0.13509174
322,CBX2,***,Neural,0.16978057
323,CTCF,***,Neural,0.58707947
324,NCOA3,***,Neural,0.1732647
325,TEAD4,***,Neural,0.13631043
326,TEAD1,***,Neural,-0.08292382
327,MAFK,***,Neural,0.27308953
328,CEBPG,***,Neural,0.3770644
329,PROX1,***,Neural,-0.34702313
330,SOX11,***,Neural,0.39899236
331,NME2,***,Neural,0.20663424
332,GTF2B,***,Neural,0.470717
333,NR1H4,***,Neural,-0.31451312
334,TERF1,***,Neural,0.55169404
335,ZNF750,***,Neural,0.31502
336,GATA3,***,Neural,0.7653899
337,MYOD1,***,Neural,0.38489395
338,EOMES,***,Neural,0.35875735
339,ONECUT1,***,Neural,0.30896997
340,FOXA2,***,Neural,0.30842948
341,MAFB,***,Neural,0.57397586
342,PIN1,***,Neural,0.1242502
343,PRDM14,***,Neural,0.513003
344,SIX2,***,Neural,0.3975331
345,SOX2,***,Neural,0.74367845
346,PDX1,***,Neural,0.51829165
347,FOXP3,***,Neural,0.013077956
348,HNF1A,***,Neural,-0.120077685
